topic_number,topic_mix
0,"0.037*""legal-and-business"" + 0.037*""lawtech"" + 0.035*""entrepreneurship"" + 0.034*""emprendedores"" + 0.028*""law"" + 0.019*""businessintell"" + 0.019*""lawyers"" + 0.019*""legal-professionals"" + 0.019*""legal-networking"" + 0.019*""law-practice"""
1,"0.065*""ux-design"" + 0.062*""user-experience"" + 0.043*""ixd"" + 0.034*""newtech"" + 0.034*""ui-design"" + 0.034*""mobile-user-experience"" + 0.029*""usability"" + 0.028*""productdesign"" + 0.024*""user-research"" + 0.024*""lean-ux"""
2,"0.126*""linux"" + 0.082*""opensource"" + 0.074*""computer-programming"" + 0.060*""gnu-linux"" + 0.050*""linux-server"" + 0.049*""softwaredev"" + 0.048*""sysadmin"" + 0.035*""unix"" + 0.030*""computer-science"" + 0.028*""hacking"""
3,"0.090*""user-interface-design"" + 0.028*""amazon"" + 0.028*""aws-programming-and-tools"" + 0.028*""sketch-app"" + 0.025*""webdesign"" + 0.024*""saas-software-as-a-service"" + 0.024*""amazon-web-services"" + 0.020*""software-architecture"" + 0.018*""cloud-computing"" + 0.017*""entrepreneurship"""
4,"0.035*""applied-statistics"" + 0.035*""statistical-computing"" + 0.033*""angular2"" + 0.024*""iot-hacking"" + 0.018*""raspberry-pi"" + 0.013*""mysql"" + 0.013*""wearable-technologies"" + 0.012*""studio-recording"" + 0.012*""electronic-music-recording-and-production"" + 0.012*""proaudio"""
5,"0.103*""internetpro"" + 0.077*""online-marketing"" + 0.044*""seo-search-engine-optimization"" + 0.038*""small-business-online-marketing"" + 0.038*""web-application-security"" + 0.031*""software-security"" + 0.030*""social-media-marketing"" + 0.030*""marketing"" + 0.027*""entrepreneurship"" + 0.025*""application-security"""
6,"0.087*""test-driven-development"" + 0.048*""software-quality"" + 0.048*""software-qa-and-testing"" + 0.048*""software-testing"" + 0.038*""c-net"" + 0.033*""test-automation"" + 0.029*""quality-assurance"" + 0.027*""softwaredev"" + 0.021*""agile-project-management"" + 0.020*""agile-testing"""
7,"0.045*""geographic-information-systems-gis"" + 0.045*""mapping"" + 0.045*""gis"" + 0.034*""geolocation"" + 0.034*""cartography"" + 0.034*""maps"" + 0.034*""web-mapping"" + 0.034*""spatial-data"" + 0.033*""aerial-photography"" + 0.033*""aerial-videography"""
8,"0.087*""gamedev"" + 0.070*""gameprog"" + 0.067*""independent-game-development"" + 0.065*""game-design"" + 0.058*""videogame"" + 0.055*""video-game-development"" + 0.052*""video-game-design"" + 0.052*""unity"" + 0.041*""indie-games"" + 0.035*""mobile-game-development"""
9,"0.095*""devops"" + 0.094*""cloud-computing"" + 0.080*""opensource"" + 0.050*""continuous-delivery"" + 0.050*""virtualization"" + 0.047*""linux"" + 0.045*""infrastructure-as-code"" + 0.043*""sysadmin"" + 0.042*""configuration-management"" + 0.039*""openstack"""
10,"0.075*""business-strategy"" + 0.065*""startup-businesses"" + 0.049*""green-entrepreneurs"" + 0.045*""small-business-owners"" + 0.042*""innovation"" + 0.038*""courses-and-workshops"" + 0.035*""technology-startups"" + 0.027*""collaboration-between-creative-minds"" + 0.027*""prodev"" + 0.025*""entrepreneurship"""
11,"0.087*""businessintell"" + 0.051*""business-strategy"" + 0.031*""edtech"" + 0.030*""prodev"" + 0.027*""innovation"" + 0.021*""social-media"" + 0.021*""apache-kafka"" + 0.018*""collaboration-between-creative-minds"" + 0.017*""opensource"" + 0.016*""startup-businesses"""
12,"0.144*""computer-security"" + 0.091*""information-security"" + 0.082*""network-security"" + 0.082*""web-security"" + 0.074*""ethical-hacker"" + 0.058*""cloud-security"" + 0.050*""cybersecurity"" + 0.041*""whitehat"" + 0.032*""hacking"" + 0.017*""penetration-testing"""
13,"0.123*""sales"" + 0.058*""sales-professionals"" + 0.054*""sales-training"" + 0.044*""microsoft-technology"" + 0.037*""azure"" + 0.037*""microsft"" + 0.037*""marketing-and-sales"" + 0.036*""sales-and-marketing-training"" + 0.022*""microsoft-azure"" + 0.022*""direct-sales"""
14,"0.050*""devops-automation"" + 0.049*""seo-search-engine-optimization"" + 0.049*""google-seo"" + 0.037*""seo-for-small-businesses"" + 0.037*""seo-for-small-to-medium-sized-businesses"" + 0.025*""seo-for-local-business"" + 0.025*""wordpress-seo"" + 0.025*""ansible"" + 0.025*""motivation"" + 0.025*""cloud-networking"""
15,"0.119*""freelance"" + 0.091*""creative-freelancers"" + 0.068*""coworking"" + 0.044*""workathome"" + 0.039*""startup-businesses"" + 0.034*""co-working-space"" + 0.034*""professional-networking"" + 0.023*""coworking-space"" + 0.023*""entrepreneurship"" + 0.021*""prodev"""
16,"0.082*""smart-contracts"" + 0.041*""referral-marketing"" + 0.031*""litecoin"" + 0.023*""entrepreneurship"" + 0.021*""prodev"" + 0.021*""landlords"" + 0.020*""airbnb"" + 0.013*""women-entrepreneurs"" + 0.011*""social-entrepreneurship"" + 0.011*""web"""
17,"0.093*""internet-ecommerce"" + 0.089*""ecommerce-technology"" + 0.059*""ecommerce-marketing"" + 0.050*""online-marketing"" + 0.044*""startup-businesses"" + 0.042*""building-an-online-business"" + 0.031*""newtech"" + 0.027*""internet-retail"" + 0.018*""shopify"" + 0.018*""prodev"""
18,"0.050*""financial-technology"" + 0.044*""elixir"" + 0.042*""functional-programming"" + 0.035*""financial-innovation"" + 0.035*""financial-services"" + 0.035*""erlang-programming"" + 0.029*""crypto-tokens-ethereum"" + 0.029*""distributed-systems"" + 0.029*""elixir-programming"" + 0.029*""clojure"""
19,"0.074*""technology-professionals"" + 0.055*""projectmgmt"" + 0.053*""project-management-tools"" + 0.045*""project-management-professional"" + 0.037*""project-management-practices"" + 0.037*""project-management-coaching"" + 0.037*""agile-programming"" + 0.036*""pmp-tools"" + 0.034*""startup-businesses"" + 0.031*""pmp"""
20,"0.053*""newtech"" + 0.043*""opensource"" + 0.030*""softwaredev"" + 0.026*""software-qa-and-testing"" + 0.020*""webdesign"" + 0.020*""new-product-development-software-tech"" + 0.020*""appcelerator"" + 0.020*""building-android-apps-with-appcelerator-titanium"" + 0.020*""appcelerator-titanium"" + 0.020*""ionic-framework"""
21,"0.060*""trading"" + 0.043*""investing"" + 0.042*""stock-trading"" + 0.037*""forextrading"" + 0.033*""options-trading"" + 0.033*""daytraders"" + 0.031*""stock-investing"" + 0.030*""currency-trading"" + 0.022*""artificial-intelligence-machine-learning-robotics"" + 0.022*""machine-intelligence"""
22,"0.019*""real-estate"" + 0.019*""desarrollo-riqueza-y-crecimiento-personal"" + 0.019*""learn-coding"" + 0.019*""coding-for-beginners"" + 0.019*""libertad-financiera"" + 0.019*""cashflow"" + 0.014*""entrepreneurship"" + 0.014*""hacking-together-art-design-and-code"" + 0.011*""computer-programming"" + 0.011*""personal-development"""
23,"0.075*""android-developers"" + 0.060*""android"" + 0.055*""ios"" + 0.053*""open-source-frameworks"" + 0.053*""javascript-libraries"" + 0.047*""javascript-frameworks"" + 0.042*""meteor"" + 0.038*""mobile-development"" + 0.030*""java-virtual-machine"" + 0.030*""java"""
24,"0.044*""professional-networking"" + 0.039*""business-strategy"" + 0.038*""entrepreneurship"" + 0.035*""young-professionals"" + 0.034*""business-entrepreneur-networking"" + 0.032*""prodev"" + 0.027*""professional-women"" + 0.026*""business-development"" + 0.026*""social"" + 0.020*""community-building"""
25,"0.075*""electronics"" + 0.071*""arduino"" + 0.068*""makers"" + 0.068*""hacking"" + 0.064*""robotics"" + 0.062*""makerspaces"" + 0.052*""diy"" + 0.052*""newtech"" + 0.049*""3d-printing"" + 0.037*""microcontroller"""
26,"0.043*""hyperledger"" + 0.033*""smart-contracts"" + 0.033*""decentralized-systems"" + 0.032*""blockchain-security"" + 0.022*""smart-city-or-cities"" + 0.021*""iot-industrial-internet-of-things"" + 0.017*""internet-of-things"" + 0.011*""young-entrepreneur"" + 0.011*""social-media"" + 0.011*""yarn"""
27,"0.057*""real-estate-networking"" + 0.055*""real-estate"" + 0.040*""retirement"" + 0.036*""real-estate-investors"" + 0.035*""beginner-new-real-estate-investor"" + 0.035*""real-estate-investing"" + 0.033*""real-estate-investment-education"" + 0.026*""go"" + 0.026*""realestateagent"" + 0.026*""golang"""
28,"0.072*""wordpress"" + 0.051*""wordpress-themes"" + 0.050*""webdesign"" + 0.044*""web-development"" + 0.043*""cms"" + 0.042*""blogs"" + 0.038*""wordpress-websites"" + 0.034*""wordpress-plugins"" + 0.034*""wordpress-customization"" + 0.030*""wordpress-users"""
29,"0.030*""technology-innovation"" + 0.029*""zoho-crm"" + 0.025*""innovation"" + 0.024*""socialnetwork"" + 0.023*""executive-coaching"" + 0.022*""social-entrepreneurship"" + 0.021*""crm"" + 0.020*""community"" + 0.020*""entrepreneurship"" + 0.019*""android"""
30,"0.033*""desarrollo-personal-y-liderazgo"" + 0.024*""opensource"" + 0.023*""database-development"" + 0.023*""data"" + 0.023*""learning-drupal"" + 0.023*""drupal"" + 0.023*""drupal-developers"" + 0.023*""certified-ethical-hacker"" + 0.022*""marketing-y-publicacion-de-videojuegos"" + 0.018*""softwaredev"""
31,"0.071*""softwaredev"" + 0.064*""newtech"" + 0.057*""computer-programming"" + 0.050*""web"" + 0.048*""information-technology"" + 0.045*""mobile-technology"" + 0.031*""opensource"" + 0.024*""science-and-technology"" + 0.024*""open-data"" + 0.023*""civic-engagement-technology"""
