topic_number,topic_mix
0,"0.031*""education"" + 0.025*""critical-thinking"" + 0.023*""openstack"" + 0.021*""intellectual-discussion"" + 0.019*""hybrid-apps"" + 0.018*""graphicdesign"" + 0.017*""seo-search-engine-optimization"" + 0.017*""ionic-framework"" + 0.017*""apache-cordova"" + 0.017*""windows-phone"""
1,"0.024*""start-a-startup"" + 0.021*""drones"" + 0.017*""apache"" + 0.017*""solr"" + 0.016*""pair-programming"" + 0.016*""test"" + 0.015*""peer2peer"" + 0.015*""conocer-a-personas-interesantes"" + 0.015*""social"" + 0.014*""building-drones"""
2,"0.076*""webstandards"" + 0.040*""bigdatadevelopers"" + 0.037*""ibm"" + 0.025*""web-bot"" + 0.022*""graphicdesign"" + 0.019*""statistical-computing"" + 0.019*""julia"" + 0.019*""scientific-computing"" + 0.019*""chatbots"" + 0.018*""bots"""
3,"0.039*""css3"" + 0.039*""html"" + 0.022*""civic-action"" + 0.022*""open-government"" + 0.020*""civic-hacking"" + 0.019*""civic-engagement-technology"" + 0.019*""open-data"" + 0.018*""crypto-currency"" + 0.016*""graph-databases"" + 0.016*""data-analytics"""
4,"0.022*""design-patterns"" + 0.020*""zoho-crm"" + 0.019*""business-development"" + 0.018*""seo-business-development"" + 0.018*""seo-for-local-business"" + 0.017*""techwriter"" + 0.017*""bookclub"" + 0.017*""crm"" + 0.017*""seo-for-small-businesses"" + 0.017*""seo-for-small-to-medium-sized-businesses"""
5,"0.021*""criptomonedas"" + 0.016*""cultural-activities"" + 0.016*""phonegap"" + 0.016*""project-management-practices"" + 0.016*""knowledge-management"" + 0.015*""emprendedores"" + 0.015*""appcelerator-titanium"" + 0.015*""windows-phone-developers"" + 0.015*""conscious-movement"" + 0.015*""small-business-marketing-strategy"""
6,"0.125*""software-engineering"" + 0.085*""software-architecture"" + 0.081*""software-design"" + 0.018*""basics-of-iphone-app-development"" + 0.017*""dashcoin"" + 0.016*""app-developers"" + 0.015*""apple-software-development"" + 0.015*""dashpc"" + 0.014*""android-app-design"" + 0.014*""crypto-currency"""
7,"0.051*""self-empowerment"" + 0.034*""certified-ethical-hacker"" + 0.027*""young-entrepreneur"" + 0.025*""criptodivisas"" + 0.024*""saas-software-as-a-service"" + 0.017*""webcomm"" + 0.017*""digitalizacion"" + 0.017*""cisco-career-certifications"" + 0.017*""cloud-computing"" + 0.015*""pmi"""
8,"0.140*""php-application-development"" + 0.113*""php-framework"" + 0.099*""laravel"" + 0.094*""php"" + 0.022*""application-development-best-practices"" + 0.020*""flask"" + 0.010*""functional-programming"" + 0.000*""professional-networking"" + 0.000*""webdesign"" + 0.000*""softwaredev"""
9,"0.103*""saas-software-as-a-service"" + 0.099*""paas"" + 0.082*""iaas-infrastructure-as-a-service"" + 0.039*""building-private-cloud-with-openstack"" + 0.027*""virtualization"" + 0.025*""amazon-web-services"" + 0.018*""mobile-web"" + 0.018*""windows-phone"" + 0.018*""software-architecture"" + 0.015*""founder-institute"""
10,"0.100*""geeks-nerds"" + 0.093*""web-application-development"" + 0.049*""ruby-on-rails"" + 0.032*""professional-women"" + 0.023*""technology-professionals"" + 0.017*""geek-girls"" + 0.017*""computer-geeks"" + 0.016*""financial-independence"" + 0.016*""financial-freedom"" + 0.016*""wealth-creation"""
