topic_number,topic_mix
11,"0.045*""gis"" + 0.039*""cartography"" + 0.039*""maps"" + 0.038*""geographic-information-systems-gis"" + 0.038*""mapping"" + 0.031*""geography"" + 0.031*""geospatial"" + 0.031*""web-mapping"" + 0.031*""spatial-data"" + 0.031*""geolocation"""
12,"0.073*""entrepreneurship"" + 0.073*""startup-businesses"" + 0.064*""technology-startups"" + 0.049*""internet-startups"" + 0.043*""business-strategy"" + 0.043*""innovation"" + 0.040*""professional-networking"" + 0.038*""web"" + 0.037*""newtech"" + 0.036*""business-entrepreneur-networking"""
13,"0.046*""ria"" + 0.029*""lean-project-management"" + 0.028*""cms"" + 0.022*""social-networking-for-software-developers"" + 0.022*""software-development-process"" + 0.022*""pcb-design"" + 0.021*""software-development-technologies"" + 0.018*""lean"" + 0.016*""emprendimiento-inteligente"" + 0.016*""drupal-theming"""
14,"0.108*""how-to-invest-in-bitcoin"" + 0.040*""how-to-safely-store-your-bitcoin"" + 0.022*""ansible"" + 0.021*""free-software"" + 0.021*""free-software-and-hardware"" + 0.019*""software-libre"" + 0.015*""software-qa-and-testing"" + 0.014*""computer-science"" + 0.014*""new-product-development-software-tech"" + 0.012*""software-engineering"""
15,"0.054*""raspberry-pi"" + 0.041*""open-source-hardware"" + 0.034*""embedded-systems"" + 0.020*""storage"" + 0.020*""data-storage"" + 0.019*""careers"" + 0.019*""robots"" + 0.018*""cloud-storage"" + 0.018*""entarchitecture"" + 0.017*""cloud-networking"""
16,"0.049*""mongodb"" + 0.036*""go"" + 0.034*""golang"" + 0.028*""nosql"" + 0.026*""concurrent-programming"" + 0.020*""internet-of-things"" + 0.018*""big-data-ingestion"" + 0.017*""chief-technology-officer"" + 0.017*""cto"" + 0.016*""m2m"""
17,"0.073*""intellectual-discussion"" + 0.038*""aplicaciones-moviles-y-tabletas-apple-y-android"" + 0.033*""iphone"" + 0.020*""executive-coaching"" + 0.020*""xcode"" + 0.019*""wifi"" + 0.019*""ethical-hacking"" + 0.018*""geek"" + 0.017*""objective-c"" + 0.016*""swift-language"""
18,"0.083*""edtech"" + 0.059*""learning"" + 0.044*""knowledge-sharing"" + 0.040*""collaboration-between-creative-minds"" + 0.035*""xamarin"" + 0.029*""newtech"" + 0.027*""collaboration"" + 0.027*""creative"" + 0.027*""technology-startups"" + 0.026*""softwaredev"""
19,"0.022*""f-sharp"" + 0.022*""fsharp"" + 0.022*""adwords"" + 0.021*""processing"" + 0.021*""windows-powershell"" + 0.020*""web-analytics"" + 0.020*""google-adwords"" + 0.019*""medical"" + 0.019*""code-for-america-brigade"" + 0.019*""f-programming"""
20,"0.043*""inversionistas"" + 0.034*""biotechnology"" + 0.026*""open-data"" + 0.023*""hardware"" + 0.021*""technology-professionals"" + 0.020*""iot-hacking"" + 0.019*""robots"" + 0.019*""ebizowners"" + 0.019*""smart-sensors"" + 0.007*""newtech"""
21,"0.027*""prototyping"" + 0.024*""sketch-app"" + 0.020*""building-an-online-business"" + 0.020*""email-marketing-ecommerce"" + 0.019*""productdesign"" + 0.018*""digital-marketing-analytics"" + 0.018*""ecommerce-marketing"" + 0.017*""digital-media"" + 0.015*""digital-marketing"" + 0.014*""ecommerce-technology"""
22,"0.085*""wordpress"" + 0.054*""wordpress-themes"" + 0.047*""wordpress-websites"" + 0.047*""cms"" + 0.046*""online-marketing"" + 0.041*""blogs"" + 0.040*""wordpress-plugins"" + 0.040*""wordpress-customization"" + 0.035*""wordpress-users"" + 0.033*""wordpress-small-business-web-sites"""
23,"0.053*""symfony2"" + 0.050*""mapreduce"" + 0.035*""software-product-management"" + 0.031*""agile-project-management"" + 0.030*""software-qa-and-testing"" + 0.028*""new-product-development-software-tech"" + 0.025*""software-engineering"" + 0.020*""impala"" + 0.020*""apple-software"" + 0.019*""using-mongodb-in-the-cloud"""
24,"0.028*""social-entrepreneurship"" + 0.018*""social-augmented-reality"" + 0.017*""innovation"" + 0.015*""technology-innovation"" + 0.015*""google-cloud-platform"" + 0.013*""apps"" + 0.013*""facebook-application-development"" + 0.013*""augmented-reality"" + 0.013*""biological-engineering"" + 0.013*""conversation"""
25,"0.019*""behaviour-driven-testing"" + 0.019*""functional-and-regression-testing"" + 0.019*""yarn"" + 0.019*""apache-pig"" + 0.019*""hbase"" + 0.019*""hive"" + 0.019*""hortonworks"" + 0.017*""testing-web-site-performance"" + 0.017*""automating-web-application-testing"" + 0.017*""apache-storm"""
26,"0.036*""microsft"" + 0.036*""web-application"" + 0.025*""power-bi"" + 0.022*""microsoft-technology"" + 0.021*""groovy"" + 0.021*""grails"" + 0.021*""gradle"" + 0.019*""groovy-programming-language"" + 0.018*""nativescript"" + 0.018*""apache-cordova"""
27,"0.112*""games"" + 0.036*""drupal"" + 0.036*""hackshackers"" + 0.031*""mono"" + 0.024*""unreal-engine"" + 0.024*""learning-drupal"" + 0.024*""drupal-developers"" + 0.020*""game-jams"" + 0.018*""hacking"" + 0.016*""watchos"""
28,"0.030*""css"" + 0.030*""webgl"" + 0.030*""self-improvement"" + 0.025*""virtual-reality"" + 0.023*""ebizowners"" + 0.021*""women-entrepreneurs"" + 0.021*""computer-science"" + 0.021*""smallbiz"" + 0.015*""agile-project-management"" + 0.001*""html5"""
29,"0.030*""mobile-developers"" + 0.022*""mobile-app-development"" + 0.021*""high-performance-computing"" + 0.020*""locals-new-in-town"" + 0.018*""redhat-openstack"" + 0.018*""social-crm"" + 0.018*""salesforce-com-admins"" + 0.016*""data"" + 0.016*""web-application"" + 0.016*""journo"""
30,"0.029*""ui-ux-design"" + 0.028*""hardware"" + 0.017*""transhumanism"" + 0.016*""lean-ux"" + 0.014*""home-diy"" + 0.013*""sketch-app"" + 0.013*""internet-of-things"" + 0.013*""makers"" + 0.013*""cloudino"" + 0.013*""esp8266"""
31,"0.021*""mean-stack"" + 0.021*""privacidad"" + 0.020*""full-stack-development"" + 0.019*""docfilm"" + 0.019*""film-and-video-production"" + 0.019*""photoshop"" + 0.019*""dv"" + 0.019*""video"" + 0.019*""tvproduction"" + 0.019*""videography"""
32,"0.063*""customer-relationship-management"" + 0.059*""crm"" + 0.040*""heroku"" + 0.040*""force-com"" + 0.039*""salesforce"" + 0.033*""apex"" + 0.032*""salesforce-com-crm"" + 0.030*""swift-language"" + 0.022*""tech-talks"" + 0.020*""cloud-computing"""
33,"0.035*""digital-marketing-analytics"" + 0.031*""full-stack-development"" + 0.029*""women-computer-scientists"" + 0.029*""pyladies"" + 0.029*""digital-marketing"" + 0.001*""witi"" + 0.001*""seo-search-engine-optimization"" + 0.001*""technology"" + 0.001*""html5"" + 0.001*""courses-and-workshops"""
34,"0.037*""red-hat-enterprise-linux-rhel"" + 0.024*""big-data-hadoop"" + 0.024*""web-performance"" + 0.022*""web-components"" + 0.021*""meet-your-neighborhood-linux-users"" + 0.021*""google-chrome"" + 0.021*""newmedia"" + 0.021*""internet-radio"" + 0.019*""law"" + 0.019*""lawtech"""
35,"0.087*""arduino"" + 0.086*""electronics"" + 0.079*""robotics"" + 0.075*""makerspaces"" + 0.067*""diy"" + 0.060*""3d-printing"" + 0.052*""microcontroller"" + 0.027*""hackers-and-makers"" + 0.021*""diy-technology"" + 0.019*""edtech"""
36,"0.203*""prodev"" + 0.038*""functional-programming"" + 0.027*""programming-languages"" + 0.026*""software-libre"" + 0.020*""help-yourself-and-help-others"" + 0.020*""mobile-marketing"" + 0.018*""people-helping-people"" + 0.015*""hacking"" + 0.013*""ontology"" + 0.013*""semantic-social-networks"""
37,"0.077*""google-technology-user-group"" + 0.025*""firebase"" + 0.023*""mobile-app-development"" + 0.021*""google"" + 0.019*""industrial-networking"" + 0.019*""lorawan"" + 0.019*""nano-technology"" + 0.019*""application-development"" + 0.017*""smart-city-or-cities"" + 0.016*""iot-industrial-internet-of-things"""
38,"0.106*""computer-security"" + 0.082*""information-security"" + 0.073*""web-security"" + 0.069*""ethical-hacker"" + 0.067*""network-security"" + 0.044*""whitehat"" + 0.042*""cybersecurity"" + 0.042*""cloud-security"" + 0.027*""hacking"" + 0.022*""golang-programming-language"""
39,"0.093*""data-science-using-python"" + 0.088*""learn-python-the-hard-way"" + 0.036*""stackless-python"" + 0.024*""shopify"" + 0.021*""ebizowners"" + 0.019*""ecommerce-technology"" + 0.018*""itunes"" + 0.018*""radiobroadcast"" + 0.016*""storytelling-podcasts"" + 0.016*""radio"""
40,"0.039*""vue-js"" + 0.020*""enterprise-ar-mr-vr"" + 0.020*""mixed-reality"" + 0.020*""natural-language-understanding"" + 0.018*""human-computer-interaction"" + 0.018*""data-science-for-business"" + 0.018*""stream-computing"" + 0.018*""streams"" + 0.018*""apache-kafka-streams"" + 0.018*""kafka-streams"""
41,"0.038*""banking"" + 0.034*""blockchain-technology"" + 0.028*""seguridad"" + 0.019*""guadalajara"" + 0.016*""startup-funding"" + 0.016*""fundraising"" + 0.016*""derecho-informatico"" + 0.016*""gobierno-digital"" + 0.016*""criptomonedas"" + 0.016*""mvc"""
42,"0.060*""joomla"" + 0.048*""open-source-content-management"" + 0.033*""cms"" + 0.021*""stellar"" + 0.021*""women-in-blockchain"" + 0.017*""web-analytics"" + 0.017*""to-promote-r-for-big-data-analytics"" + 0.017*""entrepreneurship"" + 0.017*""seo-search-engine-optimization"" + 0.016*""online-payments"""
43,"0.022*""women-business-networking"" + 0.020*""angel-investors"" + 0.018*""fashion-bloggers"" + 0.018*""how-to-market-your-business-through-blogging"" + 0.016*""blog-marketing"" + 0.016*""blogging-for-business"" + 0.016*""professional-blogging"" + 0.016*""travel-blogging"" + 0.015*""blogging-to-promote-yourself"" + 0.015*""ccna"""
44,"0.064*""open-source-frameworks"" + 0.050*""meteor"" + 0.031*""application-programming-interface"" + 0.030*""web-api-design"" + 0.029*""apis"" + 0.021*""sales"" + 0.020*""reactjs"" + 0.019*""ruby-on-rails"" + 0.019*""kong-api-management"" + 0.019*""kong-layer"""
45,"0.031*""ceph"" + 0.020*""healthy-living"" + 0.020*""walking-for-fitness"" + 0.018*""techcert"" + 0.018*""language"" + 0.017*""walkers"" + 0.016*""meet-your-neighborhood-linux-users"" + 0.015*""red-hat-enterprise-linux-rhel"" + 0.014*""it-professionals"" + 0.014*""cloud-deployment"""
46,"0.037*""data"" + 0.023*""civic-engagement"" + 0.020*""open-data"" + 0.020*""civic-engagement-technology"" + 0.014*""cycling"" + 0.014*""ecoturismo"" + 0.014*""adventure"" + 0.014*""backpacking"" + 0.014*""camping"" + 0.014*""excercise"""
47,"0.033*""prestashop"" + 0.029*""ecommerce-marketing"" + 0.022*""ecommerce-technology"" + 0.018*""saas-software-as-a-service"" + 0.001*""creative"" + 0.001*""php"" + 0.001*""internet-ecommerce"" + 0.001*""webdesign"" + 0.001*""online-marketing"" + 0.001*""opensource"""
48,"0.036*""new-product-development-software-tech"" + 0.027*""microsoft-exchange-server"" + 0.024*""office-365"" + 0.022*""microsft"" + 0.021*""microsoft-technology"" + 0.021*""communication-skills"" + 0.021*""parallel-programming"" + 0.019*""silicon-valley"" + 0.018*""vc-funding"" + 0.016*""codeigniter"""
49,"0.019*""arduino-raspberry-pi-microcontrollers"" + 0.017*""financial-services-innovation"" + 0.017*""financial-services-industry"" + 0.017*""young-makers"" + 0.016*""arduino-netduino-and-robotics"" + 0.015*""crowdfunding"" + 0.015*""finance-professionals"" + 0.014*""activism"" + 0.014*""vegan-potlucks-and-dineouts"" + 0.014*""cooperativas"""
50,"0.077*""android-game-development"" + 0.050*""social-media"" + 0.037*""asp-net-web-api"" + 0.034*""ios-game-development"" + 0.022*""game-design"" + 0.021*""continous-integration"" + 0.019*""entity-framework-core"" + 0.019*""asp-net-core"" + 0.017*""net-core"" + 0.016*""jquery-angular-react-ember-backbone-meteor-d3"""
51,"0.053*""product-development"" + 0.050*""graphicdesign"" + 0.045*""productdesign"" + 0.034*""software-product-management"" + 0.029*""lean-ux"" + 0.027*""product-management"" + 0.025*""java-server-side"" + 0.024*""software-quality"" + 0.019*""ixd"" + 0.018*""new-product-development-software-tech"""
52,"0.074*""test-driven-development"" + 0.068*""software-testing"" + 0.055*""software-qa-and-testing"" + 0.045*""test-automation"" + 0.038*""software-quality"" + 0.036*""clojure"" + 0.034*""haskell"" + 0.032*""quality-assurance"" + 0.032*""scala"" + 0.030*""lisp"""
53,"0.037*""video-game-programming"" + 0.036*""unity-3d-tips"" + 0.036*""unity-3d-artists"" + 0.034*""web-video"" + 0.028*""data-analysis-and-modeling"" + 0.024*""information-technology"" + 0.016*""daytraders"" + 0.016*""anarcho-capitalism"" + 0.016*""bitcoin-education"" + 0.016*""austrian-economics"""
54,"0.094*""agile-project-management"" + 0.086*""scrum"" + 0.072*""agile-coaching"" + 0.071*""agile-transformation"" + 0.064*""agile-leadership"" + 0.060*""xp"" + 0.049*""kanban"" + 0.043*""lean-startup"" + 0.042*""agile-testing"" + 0.010*""softwaredev"""
55,"0.045*""science-and-technology"" + 0.018*""qlik-sense"" + 0.017*""qlikview"" + 0.017*""eos"" + 0.017*""founders"" + 0.017*""hackshackers"" + 0.015*""graph-theory"" + 0.015*""neo4j"" + 0.014*""pmi"" + 0.014*""pmp-certification"""
56,"0.058*""devops-automation"" + 0.034*""paas"" + 0.030*""technology-professionals"" + 0.018*""new-product-development-software-tech"" + 0.018*""proengineer"" + 0.016*""industrial"" + 0.016*""ingenieria"" + 0.015*""hardware-engineering"" + 0.014*""business-process-automation"" + 0.014*""business-process-improvement"""
57,"0.064*""internet-retail"" + 0.051*""internet-ecommerce"" + 0.043*""social-media-marketing"" + 0.040*""content-marketing"" + 0.025*""seo-search-engine-optimization"" + 0.019*""researchers"" + 0.019*""professors"" + 0.019*""physics"" + 0.017*""astrophysics"" + 0.017*""science"""
58,"0.085*""javascript-frameworks"" + 0.083*""nodejs"" + 0.080*""javascript"" + 0.072*""html5"" + 0.057*""front-end-development"" + 0.044*""angularjs"" + 0.034*""web-development"" + 0.030*""css"" + 0.030*""javascript-applications"" + 0.029*""php"""
59,"0.023*""iot-hacking"" + 0.023*""sensors"" + 0.020*""cambio-social"" + 0.020*""activismo-politico"" + 0.020*""political-activism"" + 0.020*""dev-ops"" + 0.019*""swift-package-manager"" + 0.019*""server-side-swift"" + 0.017*""swift-programming-language"" + 0.017*""software-engineers"""
60,"0.044*""gnu-linux-configuration"" + 0.023*""gnu"" + 0.022*""code"" + 0.022*""paintball"" + 0.021*""data-engineering"" + 0.021*""python-plug-ins-for-blender"" + 0.021*""chatbot"" + 0.021*""web-crawling-and-scraping"" + 0.020*""social-coding"" + 0.020*""fun-times"""
61,"0.120*""ai"" + 0.019*""visualizacion-de-datos"" + 0.019*""technology-professionals"" + 0.017*""automated-testing"" + 0.017*""labview"" + 0.016*""power-bi"" + 0.015*""leadership"" + 0.015*""future-progress-in-artificial-intelligence"" + 0.015*""artificial-general-intelligence"" + 0.015*""privacy"""
62,"0.088*""dotnet"" + 0.072*""csharp"" + 0.066*""asp-net"" + 0.061*""asp-net-mvc"" + 0.056*""sqlserver"" + 0.054*""windows-azure-platform"" + 0.020*""c-net"" + 0.019*""android-app-design"" + 0.013*""android-app-architecture"" + 0.013*""bitcoin-cash"""
63,"0.076*""ux-design"" + 0.064*""user-experience"" + 0.058*""user-interface-design"" + 0.057*""ui-design"" + 0.043*""mobile-user-experience"" + 0.040*""ixd"" + 0.036*""usability"" + 0.029*""user-research"" + 0.018*""ia"" + 0.014*""webdesign"""
64,"0.021*""communityorg"" + 0.020*""websocket"" + 0.019*""tableau"" + 0.019*""business-intelligence-best-practices"" + 0.018*""nativescript"" + 0.017*""qlik-sense"" + 0.016*""html"" + 0.015*""technology-professionals"" + 0.015*""react-native"" + 0.015*""legal-industry"""
65,"0.093*""gaming"" + 0.038*""microsoft-azure"" + 0.038*""azure"" + 0.032*""microsoft-technology"" + 0.030*""graphicdesign"" + 0.021*""play-framework"" + 0.020*""digital-marketing"" + 0.019*""scala-akka"" + 0.018*""geeks-nerds"" + 0.016*""scala"""
66,"0.031*""service-bus"" + 0.031*""mule"" + 0.031*""mule-esb"" + 0.031*""data-architecture"" + 0.031*""solution-architecture"" + 0.031*""system-integration"" + 0.028*""api-documentation"" + 0.024*""apis"" + 0.024*""windows-8-development"" + 0.023*""economics"""
67,"0.067*""software-security"" + 0.057*""web-application-security"" + 0.051*""application-security"" + 0.018*""hacking-together-art-design-and-code"" + 0.017*""civic-hacking"" + 0.016*""civic-engagement-technology"" + 0.014*""mobile-design-and-development"" + 0.014*""sketching"" + 0.013*""mobile-design"" + 0.012*""creative-commons"""
68,"0.052*""business-intelligence-strategy"" + 0.052*""business-intelligence-tools-and-technology"" + 0.048*""qlikview"" + 0.001*""businessintell"" + 0.001*""edtech"" + 0.001*""data-visualization"" + 0.001*""data-analytics"" + 0.001*""internet-startups"" + 0.001*""startup-businesses"" + 0.001*""entrepreneurship"""
69,"0.073*""mobile-development"" + 0.068*""web-development"" + 0.058*""softwaredev"" + 0.058*""web"" + 0.056*""computer-programming"" + 0.051*""android-developers"" + 0.048*""webdesign"" + 0.047*""javascript"" + 0.045*""opensource"" + 0.045*""mobile-technology"""
70,"0.048*""abap"" + 0.020*""data-science-using-r"" + 0.020*""data-science-jobs"" + 0.018*""data-science-business-architecture"" + 0.018*""data-science-for-business"" + 0.018*""typography"" + 0.018*""typographers"" + 0.018*""networking-for-graphic-designers-marketing-pros"" + 0.018*""graphic-design-professionals"" + 0.018*""graphic-design-and-print-production"""
71,"0.038*""text-analytics"" + 0.028*""cognitive-science"" + 0.024*""crypto"" + 0.024*""crypto-currency-investing-for-newbies"" + 0.022*""sinatra-ruby-framework"" + 0.020*""software-libre"" + 0.020*""tokens"" + 0.018*""mongodb"" + 0.017*""mapreduce"" + 0.016*""beats"""
72,"0.107*""devops"" + 0.081*""cloud-computing"" + 0.067*""continuous-delivery"" + 0.061*""sysadmin"" + 0.060*""configuration-management"" + 0.057*""infrastructure-as-code"" + 0.054*""linux"" + 0.054*""openstack"" + 0.046*""virtualization"" + 0.046*""docker"""
73,"0.132*""python-web-development"" + 0.131*""python"" + 0.095*""django"" + 0.070*""open-source-python"" + 0.054*""functional-programming-in-python"" + 0.041*""linux"" + 0.033*""programming-languages"" + 0.028*""opensource"" + 0.026*""web-development"" + 0.024*""agile-programming"""
74,"0.042*""jvm-languages"" + 0.031*""kotlin"" + 0.026*""java-virtual-machine"" + 0.021*""html5"" + 0.019*""founder-institute"" + 0.017*""polymer"" + 0.017*""programming-languages"" + 0.017*""projectmgmt"" + 0.016*""mean-stack"" + 0.015*""emprendedores"""
75,"0.029*""sugarcrm"" + 0.026*""hardware-engineering"" + 0.025*""teachers"" + 0.022*""hardware"" + 0.018*""information-technology"" + 0.016*""commerce"" + 0.016*""b2c"" + 0.016*""sap-ux-fiori-sapui5-openui5"" + 0.015*""intellectualprop"" + 0.015*""fiber-arts"""
76,"0.040*""it-professionals"" + 0.024*""devops-automation"" + 0.023*""gis-web-developers"" + 0.017*""lampsoftware"" + 0.016*""digital-marketer"" + 0.016*""webvr"" + 0.016*""gnome"" + 0.015*""virtual-worlds"" + 0.015*""vr-glasses"" + 0.014*""devops"""
77,"0.088*""backend"" + 0.054*""html-5-css3"" + 0.043*""server-side"" + 0.024*""cloud-to-cloud-itegration"" + 0.022*""backend-as-a-service"" + 0.018*""cloud-security"" + 0.017*""firebase"" + 0.017*""ux-in-vr"" + 0.017*""virtual-reality-development"" + 0.017*""virtual-reality-vr-augmented-reality-ar"""
78,"0.069*""distributed-systems"" + 0.065*""erlang-programming"" + 0.052*""concurrent-programming"" + 0.043*""elixir-programming"" + 0.041*""ui-ux"" + 0.037*""functional-programming"" + 0.032*""otp"" + 0.031*""elixir"" + 0.020*""ux-research"" + 0.017*""learning-erlang-and-otp"""
79,"0.031*""designers"" + 0.026*""science-and-technology"" + 0.026*""maker-faire"" + 0.026*""hobbies-crafts"" + 0.020*""zend-framework"" + 0.020*""magento"" + 0.019*""salesforce-com-service"" + 0.019*""salesforce-com-chatter"" + 0.019*""salesforce-training"" + 0.019*""symfony"""
80,"0.067*""high-scalability-computing"" + 0.065*""amazon-web-services"" + 0.047*""cloud-computing"" + 0.046*""amazon"" + 0.046*""aws-programming-and-tools"" + 0.042*""ec2"" + 0.034*""iaas-infrastructure-as-a-service"" + 0.021*""data-analysis"" + 0.019*""study-group"" + 0.019*""studying"""
81,"0.073*""independent-game-development"" + 0.073*""gamedev"" + 0.068*""gameprog"" + 0.061*""video-game-development"" + 0.060*""videogame"" + 0.060*""video-game-design"" + 0.059*""game-design"" + 0.054*""unity"" + 0.044*""indie-games"" + 0.037*""game-production"""
82,"0.065*""nosql"" + 0.024*""react-native"" + 0.023*""dashpc"" + 0.023*""big-data-developers"" + 0.022*""women-supporting-other-women"" + 0.019*""databases-crm-website-management"" + 0.017*""professional-women"" + 0.017*""angular-4"" + 0.016*""backbone-js"" + 0.015*""sql"""
83,"0.026*""chatbots"" + 0.025*""bots"" + 0.021*""visual-studio"" + 0.021*""c-csharp"" + 0.021*""small-business-marketing-strategy"" + 0.018*""numpy"" + 0.018*""theano"" + 0.018*""scipy"" + 0.018*""pandas"" + 0.018*""makers"""
84,"0.035*""ethereum-blockchain"" + 0.028*""explore-agile-scrum-xp-lean-kanban"" + 0.028*""agile-and-scrum"" + 0.018*""creative-coding"" + 0.018*""html5-gaming"" + 0.018*""html5-game-development"" + 0.018*""gpu-programming"" + 0.018*""3d-graphics"" + 0.016*""coding-for-beginners"" + 0.016*""learn-coding"""
85,"0.031*""sharepoint-workflow"" + 0.031*""microsoft-sharepoint-technology"" + 0.031*""sharepoint-architecture"" + 0.031*""sharepoint-business-development"" + 0.031*""sharepoint-online"" + 0.031*""sharepoint-professionals"" + 0.031*""sharepoint-technologies"" + 0.031*""business-applications-for-sharepoint"" + 0.029*""sharepoint"" + 0.001*""inspirational"""
86,"0.027*""pentesting"" + 0.026*""building-android-apps-with-appcelerator-titanium"" + 0.026*""appcelerator"" + 0.024*""appcelerator-titanium"" + 0.024*""vim"" + 0.024*""learn-vim"" + 0.024*""vim-plugins"" + 0.021*""professional-bussiness-networking"" + 0.019*""pc-gaming"" + 0.019*""computer-gaming"""
87,"0.087*""financial-innovation"" + 0.079*""finance"" + 0.055*""financial-technology"" + 0.055*""financial-services"" + 0.034*""mobile-payment"" + 0.023*""fintech-evolution"" + 0.018*""woman-in-tech"" + 0.018*""venture-capitalist"" + 0.014*""internet-startups"" + 0.013*""augmented-reality"""
88,"0.085*""test-mug"" + 0.038*""hyperledger"" + 0.029*""gamification"" + 0.026*""hyperledger-fabric"" + 0.024*""e-learning"" + 0.020*""seo-for-small-to-medium-sized-businesses"" + 0.020*""seo-for-small-businesses"" + 0.020*""google-seo"" + 0.020*""virtual-reality"" + 0.017*""video-and-computer-animation"""
89,"0.077*""gnu-linux"" + 0.065*""linux"" + 0.059*""linux-server"" + 0.058*""unix"" + 0.035*""ubuntu"" + 0.029*""opensource"" + 0.029*""computer-science"" + 0.028*""rust"" + 0.028*""mozilla"" + 0.027*""sysadmin"""
90,"0.077*""wwc"" + 0.074*""ruby"" + 0.074*""women-who-code"" + 0.056*""java-virtual-machine"" + 0.055*""python"" + 0.044*""java-concurrency"" + 0.020*""coworking"" + 0.016*""algorithms"" + 0.014*""engineering"" + 0.013*""innovations-in-software-testing"""
91,"0.085*""data-analytics"" + 0.082*""big-data"" + 0.072*""data-science"" + 0.064*""predictive-analytics"" + 0.064*""data-visualization"" + 0.061*""big-data-analytics"" + 0.055*""machine-learning"" + 0.054*""hadoop"" + 0.053*""data-mining"" + 0.043*""businessintell"""
92,"0.112*""blockchain-development"" + 0.069*""blockchain-security"" + 0.042*""crypto-tokens-ethereum"" + 0.040*""smart-property"" + 0.033*""automation"" + 0.030*""tokens"" + 0.026*""cryptocurrency-trading"" + 0.024*""technology-professionals"" + 0.021*""opscode-chef"" + 0.019*""motivation"""
93,"0.108*""cryptocurrency"" + 0.099*""bitcoin"" + 0.095*""digital-currency"" + 0.093*""blockchain"" + 0.077*""virtual-currency"" + 0.058*""ethereum"" + 0.054*""bitcoin-miners"" + 0.052*""decentralization"" + 0.051*""smart-contracts"" + 0.046*""decentralized-systems"""
94,"0.038*""aerial-videography"" + 0.036*""aerial-photography"" + 0.031*""drones"" + 0.029*""radio-control-flying"" + 0.029*""multi-rotor-aircraft"" + 0.027*""uav"" + 0.021*""emprendimiento-en-chile"" + 0.021*""emprendimiento-regional"" + 0.020*""titanium"" + 0.020*""building-iphone-apps-with-appcelerator-titanium"""
