topic_number,topic_mix,is_creative,name,sector
21,"0.102*""professional-networking"" + 0.091*""entrepreneurship"" + 0.089*""business-strategy"" + 0.084*""smallbiz"" + 0.052*""business-entrepreneur-networking"" + 0.051*""small-business-marketing-strategy"" + 0.048*""socialnetwork"" + 0.044*""business-referral-networking"" + 0.042*""startup-businesses"" + 0.037*""women-entrepreneurs""",,,
22,"0.090*""self-empowerment"" + 0.078*""leadership-development"" + 0.064*""professional-networking"" + 0.060*""entrepreneurship"" + 0.058*""prodev"" + 0.056*""leadership"" + 0.049*""executive-coaching"" + 0.036*""publicspeaking"" + 0.032*""communication-skills"" + 0.030*""personal-development""",,,
23,"0.032*""newtech"" + 0.026*""erp"" + 0.017*""virtual-reality"" + 0.016*""professional-networking"" + 0.015*""robotics"" + 0.013*""startup-businesses"" + 0.013*""website-design-and-development-classes"" + 0.013*""sap-basis"" + 0.013*""wordpress-small-business-websites"" + 0.013*""sap""",1,tech,software
24,"0.133*""functional-programming"" + 0.086*""programming-languages"" + 0.061*""softwaredev"" + 0.056*""scala"" + 0.053*""computer-programming"" + 0.042*""opensource"" + 0.041*""haskell"" + 0.030*""erlang-programming"" + 0.028*""newtech"" + 0.028*""clojure""",1,functional_programming,software
25,"0.147*""programming-languages"" + 0.071*""computer-programming"" + 0.068*""opensource"" + 0.046*""django"" + 0.046*""python"" + 0.044*""python-web-development"" + 0.039*""softwaredev"" + 0.039*""linux"" + 0.038*""functional-programming-in-python"" + 0.031*""open-source-python""",1,programming,software
26,"0.078*""witi"" + 0.049*""wwc"" + 0.049*""women-who-code"" + 0.045*""php"" + 0.036*""python"" + 0.035*""programming-languages"" + 0.030*""cms"" + 0.029*""drupal"" + 0.029*""opensource"" + 0.029*""wordpress""",,,
27,"0.032*""nutrition"" + 0.028*""technology-startups"" + 0.024*""professional-networking"" + 0.021*""farmersmarket"" + 0.021*""sustainable-community"" + 0.021*""sustainable-food"" + 0.021*""green-entrepreneurs"" + 0.021*""mobile-startups"" + 0.019*""social-entrepreneurship"" + 0.016*""internet-startups""",,,
28,"0.156*""javascript"" + 0.105*""html5"" + 0.104*""javascript-frameworks"" + 0.090*""nodejs"" + 0.088*""web-development"" + 0.066*""computer-programming"" + 0.065*""front-end-development"" + 0.054*""softwaredev"" + 0.034*""css"" + 0.030*""webdesign""",1,web_development,software
29,"0.082*""softwaredev"" + 0.057*""dotnet"" + 0.053*""asp-net"" + 0.048*""csharp"" + 0.046*""asp-net-mvc"" + 0.045*""sqlserver"" + 0.043*""computer-programming"" + 0.039*""web-development"" + 0.033*""programming-languages"" + 0.030*""windows-azure-platform""",1,software_development,software
30,"0.092*""xamarin"" + 0.083*""mobile-development"" + 0.083*""csharp"" + 0.082*""dotnet"" + 0.054*""cross-platform-development"" + 0.053*""ios-development"" + 0.049*""android-developers"" + 0.040*""softwaredev"" + 0.040*""mobile-technology"" + 0.033*""xamarin-forms""",1,mobile,software
31,"0.144*""agile-project-management"" + 0.096*""scrum"" + 0.081*""agile-transformation"" + 0.081*""agile-coaching"" + 0.066*""agile-leadership"" + 0.056*""kanban"" + 0.046*""xp"" + 0.044*""agile-testing"" + 0.036*""softwaredev"" + 0.024*""lean-project-management""",1,agile,software
32,"0.165*""android-developers"" + 0.153*""ios-development"" + 0.147*""mobile-development"" + 0.103*""mobile-technology"" + 0.073*""computer-programming"" + 0.059*""softwaredev"" + 0.049*""newtech"" + 0.024*""web-development"" + 0.016*""mysql"" + 0.015*""java""",1,apps,software
33,"0.130*""lean-startup"" + 0.106*""startup-businesses"" + 0.101*""technology-startups"" + 0.084*""internet-startups"" + 0.082*""entrepreneurship"" + 0.057*""startup-incubation-and-entrepreneurship-mentors"" + 0.052*""business-entrepreneur-networking"" + 0.049*""venture-capital"" + 0.034*""angel-investors"" + 0.026*""newtech""",1,startups,software
34,"0.057*""automation"" + 0.036*""test-automation"" + 0.020*""edtech"" + 0.019*""technology"" + 0.019*""apis"" + 0.019*""it-infrastructure"" + 0.019*""web-api-design"" + 0.019*""test-automation-frameworks"" + 0.019*""vmware"" + 0.019*""cloud-security""",1,automation,software
35,"0.035*""socially-responsible-business"" + 0.023*""biotechnology"" + 0.023*""rc"" + 0.023*""artes-plasticas"" + 0.023*""software-development-process"" + 0.023*""new-product-development-software-tech"" + 0.023*""social-networking-for-software-developers"" + 0.023*""software-development-technologies"" + 0.023*""drones"" + 0.021*""3d-printing""",,,
36,"0.142*""robotics"" + 0.113*""arduino"" + 0.113*""electronics"" + 0.041*""high-scalability-computing"" + 0.038*""opensource"" + 0.037*""diy"" + 0.035*""microcontroller"" + 0.029*""edtech"" + 0.027*""internet-of-things"" + 0.027*""smart-sensors""",1,making,design
37,"0.049*""professional-networking"" + 0.025*""entrepreneurship"" + 0.022*""google-adwords"" + 0.022*""softwaredev"" + 0.022*""technology"" + 0.019*""seo-search-engine-optimization"" + 0.014*""business-entrepreneur-networking"" + 0.011*""newtech"" + 0.011*""android"" + 0.011*""internetpro""",,,
38,"0.120*""creative"" + 0.104*""freelance"" + 0.079*""creative-freelancers"" + 0.051*""entrepreneurship"" + 0.044*""collaboration-between-creative-minds"" + 0.041*""professional-networking"" + 0.041*""workathome"" + 0.040*""coworking"" + 0.032*""business-strategy"" + 0.031*""startup-businesses""",1,feelance,freelance
39,"0.072*""linux-server"" + 0.071*""opensource"" + 0.063*""softwaredev"" + 0.046*""gnu-linux"" + 0.043*""ubuntu"" + 0.037*""linux"" + 0.030*""backend"" + 0.030*""webstandards"" + 0.030*""red-hat-enterprise-linux-rhel"" + 0.027*""hacking""",1,linux,software
40,"0.090*""projectmgmt"" + 0.055*""project-management-tools"" + 0.052*""project-management-professional"" + 0.046*""agile-project-management"" + 0.039*""lean-project-management"" + 0.033*""pmp"" + 0.031*""project-management-practices"" + 0.031*""project-management-coaching"" + 0.030*""pmp-tools"" + 0.023*""startup-businesses""",,,
41,"0.030*""hyperledger"" + 0.030*""ibd"" + 0.028*""sustentabilidad"" + 0.023*""green-entrepreneurs"" + 0.016*""innovation"" + 0.016*""startup-financing"" + 0.016*""newtech"" + 0.015*""self-exploration"" + 0.015*""internet-of-things"" + 0.015*""blockchain-development""",,,
42,"0.136*""collaboration-between-creative-minds"" + 0.135*""collaboration"" + 0.041*""real-estate"" + 0.033*""professional-networking"" + 0.027*""women-entrepreneurs"" + 0.020*""marketing"" + 0.019*""business-strategy"" + 0.018*""referral-marketing"" + 0.017*""sustainability"" + 0.016*""b2b-networking""",,,
43,"0.134*""womens-business-networking"" + 0.103*""professional-women"" + 0.068*""womens-empowerment"" + 0.057*""womens-networking"" + 0.051*""women-small-business-owners"" + 0.051*""women"" + 0.042*""women-entrepreneurs"" + 0.041*""prodev"" + 0.033*""female-entrepreneurs"" + 0.029*""womens-support""",,,
