topic_number,topic_mix,is_creative,name,sector
86,"0.033*""swift-language"" + 0.033*""console-gaming"" + 0.020*""android"" + 0.019*""the-future-of-video-games"" + 0.017*""videogame"" + 0.017*""opensource"" + 0.017*""community-building"" + 0.017*""game-night"" + 0.017*""games"" + 0.017*""gaming""",1,games_development2,games
87,"0.137*""python"" + 0.086*""data-science-using-python"" + 0.084*""python-web-development"" + 0.054*""learn-python-the-hard-way"" + 0.051*""web-development"" + 0.049*""open-source-python"" + 0.034*""softwaredev"" + 0.025*""django"" + 0.022*""hackshackers"" + 0.021*""business-model-innovation""",1,python,software
88,"0.107*""big-data"" + 0.083*""data-analytics"" + 0.072*""big-data-analytics"" + 0.071*""predictive-analytics"" + 0.067*""data-science"" + 0.065*""data-visualization"" + 0.062*""hadoop"" + 0.057*""machine-learning"" + 0.053*""data-mining"" + 0.039*""businessintell""",1,big_data,software
89,"0.049*""community-building"" + 0.040*""community"" + 0.026*""angularjs"" + 0.026*""architecture"" + 0.022*""technology-startups"" + 0.019*""graphicdesign"" + 0.018*""witi"" + 0.018*""intdesign"" + 0.018*""angular2"" + 0.018*""software-design""",1,community,software
90,"0.125*""ai"" + 0.085*""chatbots"" + 0.070*""bots"" + 0.058*""robotics"" + 0.032*""newtech"" + 0.018*""machine-learning"" + 0.015*""edtech"" + 0.015*""makers"" + 0.014*""spacex"" + 0.014*""nanotech""",1,chatbots,software
91,"0.046*""firebase"" + 0.018*""smallbiz"" + 0.018*""entrepreneurship"" + 0.017*""computer-programming"" + 0.016*""trading"" + 0.016*""stock-investing"" + 0.016*""funds"" + 0.016*""real-estate-investors"" + 0.016*""juststart"" + 0.016*""business""",,,
92,"0.040*""business-strategy"" + 0.039*""ria"" + 0.039*""reactjs"" + 0.037*""business-startup"" + 0.033*""writing"" + 0.024*""diy"" + 0.021*""entrepreneurship"" + 0.020*""angularjs"" + 0.020*""prodev"" + 0.020*""communication-skills""",,,
93,"0.045*""career-coaching"" + 0.030*""sales"" + 0.028*""construction"" + 0.028*""contactos"" + 0.026*""nlp-coaching"" + 0.024*""online-marketing"" + 0.022*""internet-ecommerce"" + 0.020*""web"" + 0.019*""sales-training"" + 0.019*""prestashop""",,,
94,"0.100*""stream-processing"" + 0.051*""apache-apex"" + 0.051*""building-private-cloud-with-openstack"" + 0.045*""opensource"" + 0.027*""computer-programming"" + 0.026*""devops"" + 0.026*""big-data-ingestion"" + 0.026*""it-professionals"" + 0.026*""devops-automation"" + 0.026*""learning-drupal""",,,
95,"0.058*""augmented-reality"" + 0.056*""virtual-reality"" + 0.048*""oculus-rift"" + 0.041*""htc-vive"" + 0.038*""vr-glasses"" + 0.038*""virtual-worlds"" + 0.027*""newtech"" + 0.021*""mixed-reality"" + 0.011*""computer-science"" + 0.011*""computer-security""",1,vr,games
96,"0.058*""lifetransform"" + 0.039*""executive-coaching"" + 0.024*""innovation"" + 0.022*""entrepreneurship"" + 0.020*""women-entrepreneurs"" + 0.020*""investing"" + 0.019*""leadership"" + 0.019*""professional-bussiness-networking"" + 0.019*""libertad-financiera"" + 0.019*""mujeres-hispanas-profesionales-y-de-negocios""",,,
97,"0.195*""javascript-applications"" + 0.096*""web"" + 0.059*""software-design"" + 0.025*""softwaredev"" + 0.025*""javascript-frameworks"" + 0.022*""software-architecture"" + 0.020*""newtech"" + 0.020*""microservices"" + 0.020*""test-driven-development"" + 0.020*""big-data""",1,web_development_4,software
98,"0.085*""microsoft-technology"" + 0.063*""microsft"" + 0.053*""azure"" + 0.046*""windows-azure-platform"" + 0.043*""microsoft-azure"" + 0.035*""cloud-computing"" + 0.033*""dotnet"" + 0.026*""csharp"" + 0.017*""softwaredev"" + 0.012*""sqlserver""",1,microsoft,software
99,"0.098*""wordpress"" + 0.097*""webdesign"" + 0.083*""wordpress-themes"" + 0.062*""wordpress-websites"" + 0.062*""blogs"" + 0.060*""web-development"" + 0.055*""wordpress-customization"" + 0.055*""wordpress-plugins"" + 0.051*""online-marketing"" + 0.048*""wordpress-users""",1,wordpress,marketing
