year,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software,creative_industries,all_sectors
2010,0.3926339582502327,0.43138948884089273,0.6279181323952671,0.3796733212341198,0.4666064981949459,0.6602878639188747,0.4432730020510237,0.5455349708576187,0.3359513554598429,0.4769882260252987,0.541295814804277
2011,0.013761467889908258,0.009071274298056155,0.0025583626479053407,0.012341197822141561,0.021660649819494584,0.001144913313706248,0.0031664927494512614,0.004163197335553705,0.01621484671902711,0.006904626427977415,0.005501763726597273
2012,0.04028719585161548,0.02001439884809215,0.0031979533098816758,0.010889292196007259,0.025872442839951864,0.001144913313706248,0.006908711453348206,0.009731473771856786,0.059285533316442866,0.01642447586116339,0.0039035310958339033
2013,0.008841909320569073,0.005471562275017999,0.001439078989446754,0.009074410163339383,0.008724428399518652,0.0026169447170428526,0.0038501673203555106,0.00473563696919234,0.006080567519635166,0.00516479187639515,0.00391455746362037
2014,0.41596862119399014,0.43354931605471564,0.3469779341221618,0.523049001814882,0.29001203369434414,0.31370624795551194,0.5216077147277896,0.4113759367194005,0.39777045857613375,0.43476167549350025,0.4129041976003867
2016,0.086158755484643,0.0734341252699784,0.014390789894467541,0.04900181488203267,0.08604091456077016,0.020117762512266928,0.01619229246878486,0.018057868442964198,0.12997213073220168,0.04103383376373266,0.018725922892216272
2017,0.04188272836059035,0.02663786897048236,0.003517748640869843,0.015970961887477313,0.09476534296028881,0.0008177952240758914,0.0049656363570940235,0.0063488759367194,0.0539650367367621,0.018317503392130258,0.006720374266426581
2018,0.0004653636484510039,0.00043196544276457883,0.0,0.0,0.00631768953068592,0.00016355904481517829,3.598287215285524e-05,5.203996669442132e-05,0.0007600709399543957,0.0004048671598021622,0.0070338381506418425
