state,all_creative,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software
aguascalientes,1.0054126360139408,0.9684217141671734,1.430660797892959,0.49189189875350714,2.231332838999684,0.6656752456786413,0.8580730347310241,1.1318216885396806,0.8721076454658542,0.9324379012357599
baja california,0.8525301135176186,0.7358555722105548,0.7030491277696295,3.0519759750193067,0.5739878532593842,1.1752367119258442,0.5813624538356323,0.7177267912243113,0.6593742960516491,0.4170457653550649
baja california sur,0.7680734414806586,0.7169486583446599,0.8307808741495248,0.40919355355222786,2.1632010248728846,0.9991326699388853,2.041531802609521,0.698044325084179,0.42360147940052173,0.27651546211696487
campeche,1.0081760530515713,0.5762201378765686,2.862377804547491,0.06202802017103748,0.6889919577852051,1.2058913430635705,1.0806834608267297,0.9428404087305439,0.6134961919947157,0.9549338198371276
chiapas,0.7063072484564467,0.4576622927394941,0.28735267417400295,0.12496935737936707,0.3738681378411462,1.0286352733648856,1.2559102843452907,1.2544375427809071,0.6044956382675964,0.12808177425630038
chihuahua,0.8007359066956067,0.6650038934151147,0.6521680798002877,0.435196070219817,0.4519307483888387,1.188418063722963,0.8597683665113441,0.6707031685787342,0.6617008717408458,1.6387403346497802
ciudad de méxico,2.318302191218543,3.441065631403197,2.7064058709156993,0.7491108276666962,2.243410190138978,1.8011619016807507,1.3500517122586972,1.3859874779185328,2.8582766732870883,3.362196635076204
coahuila de zaragoza,0.8835777849165067,0.7528458386915422,1.1717652987041978,1.9394690182577277,0.7476768177545043,1.0401493201381784,1.1957240350650644,0.7836960688146914,0.4996364172309502,0.600606801990044
colima,0.8156422125277485,0.5209816930827632,1.0729138645294967,0.1360195680538783,0.5706961349416142,1.5363794547702532,0.8358855175414421,1.13132965054969,0.45562841845638075,0.4793211456934916
durango,0.7927615896565452,0.5314540887031324,0.4665458487901909,3.754064710285552,0.3291191332414295,0.9122245260446458,1.0393514599133205,0.6790011950790291,0.6667613254485159,0.19604449452844613
guanajuato,0.6963275084335508,0.7471490018638481,0.6732303316755704,0.5209524598816,0.984225366927924,0.675589694873432,0.6401130722589043,0.8059347645000555,0.609352785053824,0.5220759092548252
