,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software,creative_industries,all_sectors
0 a 5 personas,0.6743784071267118,0.6478041756659467,0.8786376718899904,0.8352087114337569,0.434115523465704,0.7785410533202486,0.740995286243748,0.9267277268942548,0.4834051178109957,0.7544863658248347,0.8778408402879851
101 a 250 personas,0.007046935247972344,0.007775377969762419,0.0063959066197633516,0.0014519056261343012,0.017448856799037304,0.00572456656853124,0.0021949552013241697,0.0020815986677768525,0.013934633899163922,0.004956887118658905,0.003792282920845447
11 a 30 personas,0.11554314585826353,0.13275737940964724,0.03517748640869843,0.056261343012704176,0.21209386281588447,0.0821066404972195,0.09758554927854342,0.02482306411323897,0.1945781606283253,0.08971637414102508,0.042554888175894194
251 y más personas,0.0057838053450339055,0.004895608351331893,0.00463703229932843,0.0014519056261343012,0.00631768953068592,0.001144913313706248,0.000899571803821381,0.0011969192339716902,0.01444134785913352,0.003140456077384339,0.0022696596691892763
31 a 50 personas,0.03117936444621726,0.04204463642908567,0.008954269267668692,0.011978221415607986,0.10078219013237064,0.01324828263002944,0.012737936742110755,0.005672356369691924,0.061312389156321256,0.021567383026217885,0.008871697381336101
51 a 100 personas,0.010238000265922085,0.012814974802015839,0.00799488327470419,0.003992740471869328,0.0776173285198556,0.009159306509649984,0.0052894822064697205,0.0024458784346378017,0.02305548517861667,0.009880947170306823,0.005921750199606792
6 a 10 personas,0.155830341709879,0.15190784737221022,0.0582027502398465,0.0896551724137931,0.15162454873646208,0.11007523716061499,0.14029721852398258,0.037052456286427976,0.20927286546744364,0.1162515866415722,0.05874888136514309
