state,all_creative,advertising_marketing,architecture,crafts,design,film_radio_tv,libraries_museums,music_performing_arts,publishing,software
aguascalientes,1.1096638963870424,1.25414907352415,1.4283048640136484,0.6939262968102765,2.0253220400447614,0.6661225503222497,0.6808439240545922,1.1345430149163862,0.9356387292382287,1.727820972990921
baja california,1.1550409441725698,1.2097166226720144,1.4980633840104167,0.6869858322894492,1.2690010312674702,1.5459815312488563,0.7647210241688023,1.1822134998591756,1.1420371171832961,1.1525562096676234
baja california sur,1.1924582594916073,1.381343055873237,1.9038829206769632,0.5343687527179699,1.318528438214386,1.6173790174414373,1.6398146121188335,1.2966375734958762,0.7183427466520821,0.6994514425977405
campeche,1.0235858977754662,0.964415704743732,1.7286650517024162,0.1799685019198705,0.8624697402351494,1.617779431518098,1.1045368115867222,1.1474872672877785,0.8395345800946331,0.8554773329162935
chiapas,0.854286753180292,0.7168738779520993,0.6840923391155669,0.25180312143086764,0.6103597985173628,1.0920558960732216,1.0390070571570051,1.220698331758306,0.7403399643318673,0.29078252533111093
chihuahua,1.0316723776550054,1.0409957616605847,1.052970858365498,0.6606287330999354,0.7048417007256944,1.5412603489893728,1.2636636933315477,1.0168742809600178,0.9997819655574799,1.245647528553414
ciudad de méxico,1.5883611953118995,2.4187924626027417,1.8692291642405607,0.4698857350814735,1.88327146331369,1.5544176285420903,0.7623421850873685,1.2185462983087836,1.6435563934136534,3.139031601565677
coahuila de zaragoza,1.0687177831797476,1.0522407089334105,0.9484550809331291,0.795619904145906,1.221267957886175,1.7963201734759915,1.2711377921190605,1.1424701076415944,0.8803988027579563,1.1405929847870164
colima,0.9740754688525868,1.052091878414516,1.4241870081993475,0.384089357949326,1.0770575795220836,1.4453037572894616,1.247985545317541,0.9863675710827383,0.7132634567017168,1.1097771976194524
durango,0.8987791194753578,0.8633284108382063,0.6895113133494148,1.6222350140695327,0.7659728558337926,1.0011161706320704,1.393880362039961,0.7856149522592324,0.8489746100650135,0.5346478889845702
guanajuato,0.8312108320586915,0.8321823312881381,1.0679866592269593,0.5914374574269041,1.547517659883047,0.5798121097220185,0.7387128481909535,0.8237894952526247,0.8135151728204923,0.7842293647952602
guerrero,0.9120333339301145,0.4946249344600191,0.27705921889281326,5.573978283642227,0.2560912163014697,0.8586626980231766,0.8235080013304502,0.6265983696396611,0.6492025491404028,0.16250116334858444
hidalgo,0.8335651389994114,0.782159677220824,0.6398427603313506,0.7173055642455576,0.6298229255571701,0.6620618144119647,1.356709444706514,0.8299435219429276,0.9668469722899764,0.40744846086611103
jalisco,1.0184370021708518,1.030951122095638,1.117446135354193,1.1683054109847755,1.3934851471854708,0.7492682048119369,0.8619718510369628,0.9749027284943425,0.9781544909852412,1.2689777321013591
michoacán de ocampo,0.7916117185324395,0.5877403582692055,0.7752686554354747,1.2577336435609783,0.8364306490226295,1.0065471748202437,0.7936643673010215,0.8275826577445947,0.8083012118698152,0.3087548334985528
morelos,0.7802374905260615,0.6597564285479268,0.6144484039213396,0.3808400203985129,0.6664066775572828,0.9553844715492578,1.1037550236814166,0.9141658762706582,0.8495562263774182,0.31429111344748906
méxico,0.820793956840537,0.556571732571,0.5690171708935784,0.7711391813902435,0.6739681629088173,0.4498450216767704,0.8519544373047381,0.8517097713993061,1.2570046553002816,0.37467776802195746
nayarit,0.8165726402051559,0.6282109208542205,0.6485227484924251,0.6495719209066981,0.5449474274990794,0.7704851475904111,1.2855585491892934,1.0073546061143548,0.7812917166735865,0.42512217905541533
nuevo león,1.4053364235879848,1.7351535612860047,1.8401854677782077,0.6955596383345081,1.5680688825401787,1.380875942271534,1.4965755736793158,1.372036370549394,0.9679500511245257,2.6374643376741354
oaxaca,0.7914969278323041,0.578411796541644,0.6246291705162954,1.3249379815705618,0.38922935199814335,1.0851136089030398,1.6223460089929156,0.8322169330918004,0.6277933611829963,0.3087289727396196
puebla,1.0114639814351678,0.8299799489522003,0.7454183172460241,3.108829378961379,0.8156880256206966,0.6109571294989802,0.906631325827562,0.954165090313527,0.8627962918797142,0.6115230020640671
querétaro,1.3799452886249484,1.6033886245950737,2.142386189788085,0.7386712186665213,2.2648010906272145,0.9205078370550331,0.6574575207490758,1.338461380310015,1.111489430715469,2.690447174650664
quintana roo,1.1364688082893022,1.5440299786504215,0.9773470689853628,0.11768675960046794,1.4248285435766757,1.5991725045188603,1.136937166721418,1.156461951530037,1.0937375080784584,0.9530894842468547
san luis potosí,0.9618981120184368,0.9212424747144257,0.9256526889617949,0.5939136056775444,0.8815259909036041,0.9598432967069074,1.1137741955343197,1.0537982916868622,1.0333789568330947,0.5911742407588391
sinaloa,0.9981145346380658,1.0192471188017425,0.9498410351563867,0.5819521620732535,0.9412574538636536,1.2317899892620015,0.7961841345924426,1.1950163900959272,0.8499368019857149,1.1526250385122014
sonora,1.1421467116835415,1.1888731785684095,1.5830689803405291,0.8753433077292253,0.8776256608183439,1.5783084144402733,1.2236957742235393,1.1129625890735473,0.9757394819106276,1.3176278678012785
tabasco,0.9135996504160181,0.9039020761285528,1.2690868733568594,0.10924863387231722,0.7440010412749241,1.0688486680008586,1.329827834351638,0.8530985276326967,1.0560083472238195,0.675105074569582
tamaulipas,0.8500218141659351,0.8352149732987671,0.8932496576513999,0.5989096907532299,0.7364270368665925,1.5611283481062697,0.6253866777497147,0.8606058313467935,0.9360217049770225,0.5634504284380804
tlaxcala,0.7545437466127413,0.4708894236370061,0.3999558836430693,0.8216714394015133,0.7813838654168292,0.2924767641893473,1.3288769733089243,0.9420230395512221,0.791417179702259,0.3342803307963086
veracruz de ignacio de la llave,0.7988925907521741,0.7134799640693862,0.7799662963051616,0.2814968702506856,0.534559137615725,1.0083290592209975,0.9773438381824958,0.9301071245873982,0.8386332293568931,0.5918478417483451
yucatán,1.0446433101487549,0.9320808024339858,0.7391804938562241,0.34489580650444057,0.7985909043035742,0.6748668799139357,1.1642179643114074,1.3970569871475618,1.0416714878015716,0.9508848164552983
zacatecas,0.9117168392290994,0.5188045451193564,0.7377602779407442,1.1469848388899673,0.6580825799071046,1.1620082911442422,1.8436766906536848,0.9189989134372244,0.9845151726699163,0.4593406403962689
