code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
5413,"Servicios de arquitectura, ingeniería y actividades relacionadasT",5413,"Architectural, engineering, and related servicesT",1.0,1.0,architecture,1,5413
54131,Servicios de arquitecturaT,54131,Architectural servicesT,1.0,1.0,architecture,1,54131
541310,Servicios de arquitectura,541310,Architectural services ,1.0,1.0,architecture,1,541310
54132,Servicios de arquitectura de paisaje y urbanismoT,54132,Landscape architectural services and urbanism servicesT,1.0,1.0,architecture,1,54132
541320,Servicios de arquitectura de paisaje y urbanismo,541320,Landscape architectural services and urbanism services,1.0,1.0,architecture,1,541320
54133,Servicios de ingenieríaT,54133,Engineering servicesT,1.0,,architecture,1,54133
541330,Servicios de ingeniería,541330,Engineering services,1.0,,architecture,1,541330
54134,Servicios de dibujoT,54134,Drafting servicesT,1.0,,architecture,1,54134
541340,Servicios de dibujo,541340,Drafting services,1.0,,architecture,1,541340
54135,Servicios de inspección de edificiosT,54135,Building inspection servicesT,1.0,,architecture,1,54135
541350,Servicios de inspección de edificios,541350,Building inspection services,1.0,,architecture,1,541350
54136,Servicios de levantamiento geofísicoT,54136,Geophysical surveying servicesT,1.0,,architecture,1,54136
541360,Servicios de levantamiento geofísico,541360,Geophysical surveying services,1.0,,architecture,1,541360
54137,Servicios de elaboración de mapasT,54137,Mapping servicesT,1.0,,architecture,1,54137
541370,Servicios de elaboración de mapas,541370,Mapping services,1.0,,architecture,1,541370
54138,Laboratorios de pruebasT,54138,Testing laboratoriesT,1.0,,architecture,1,54138
541380,Laboratorios de pruebas,541380,Testing laboratories,1.0,,architecture,1,541380
5414,Diseño especializadoT,5414,Specialized designT,1.0,1.0,design,1,5414
54141,Diseño y decoración de interioresT,54141,Interior design and decoratingT,1.0,1.0,design,1,54141
541410,Diseño y decoración de interiores,541410,Interior design and decorating,1.0,1.0,design,1,541410
54142,Diseño industrialT,54142,Industrial designT,1.0,1.0,design,1,54142
541420,Diseño industrial,541420,Industrial design,1.0,1.0,design,1,541420
54143,Diseño gráficoT,54143,Graphic designT,1.0,1.0,design,1,54143
541430,Diseño gráfico,541430,Graphic design,1.0,1.0,design,1,541430
54149,Diseño de modas y otros diseños especializadosT,54149,Fashion design and other specialized designsT,1.0,1.0,design,1,54149
541490,Diseño de modas y otros diseños especializados,541490,Fashion design and other specialized designs,1.0,1.0,design,1,541490
5415,Servicios de diseño de sistemas de cómputo y servicios relacionadosT,5415,Computer systems design and related servicesT ,1.0,1.0,software,1,5415
