,Unnamed: 0,code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
26,26,51119,Edición de otros materiales y edición de estas publicaciones integrada con la impresiónT,51119,"Other materials publishing, and integrated publishing and printing of other materialsT",1.0,1.0,publishing,1,51119
27,27,511191,Edición de otros materiales,511191,Other materials publishing,1.0,1.0,publishing,1,511191
28,28,511192,Edición de otros materiales integrada con la impresión,511192,Integrated publishing and printing of other materials ,1.0,1.0,publishing,1,511192
29,29,5112,Edición de software y edición de software integrada con la reproducciónT,5112,"Software publishing, and integrated software publishing and reproductionT",1.0,1.0,software,1,5112
30,30,51121,Edición de software y edición de software integrada con la reproducciónT,51121,"Software publishing, and integrated software publishing and reproductionT",1.0,1.0,software,1,51121
31,31,511210,Edición de software y edición de software integrada con la reproducción,511210,"Software publishing, and integrated software publishing and reproduction",1.0,1.0,software,1,511210
32,32,512,"Industria fílmica y del video, e industria del sonidoT",512,"Film and video industry, and sound recording industryT",1.0,1.0,software,1,512
33,33,5121,Industria fílmica y del videoT,5121,Film and video industryT ,1.0,1.0,film_radio_tv,1,5121
34,34,51211,"Producción de películas, programas para la televisión y otros materiales audiovisualesT",51211,"Motion pictures, television programs and other audiovisual materials productionT",1.0,1.0,film_radio_tv,1,51211
35,35,512111,Producción de películas,512111,Motion pictures production,1.0,1.0,film_radio_tv,1,512111
36,36,512112,Producción de programas para la televisión,512112,Television programs production,1.0,1.0,film_radio_tv,1,512112
37,37,512113,"Producción de videoclips, comerciales y otros materiales audiovisuales",512113,"Music videos, commercials, and other audiovisual materials production",1.0,1.0,film_radio_tv,1,512113
38,38,51212,Distribución de películas y de otros materiales audiovisualesT,51212,Motion pictures and other audiovisual materials distributionT,1.0,1.0,film_radio_tv,1,51212
39,39,512120,Distribución de películas y de otros materiales audiovisuales,512120,Motion pictures and other audiovisual materials distribution,1.0,1.0,film_radio_tv,1,512120
40,40,51213,Exhibición de películas y otros materiales audiovisualesT,51213,Motion pictures and other audiovisual materials exhibitionT,1.0,1.0,film_radio_tv,1,51213
41,41,512130,Exhibición de películas y otros materiales audiovisuales,512130,Motion pictures and other audiovisual materials exhibition,1.0,1.0,film_radio_tv,1,512130
42,42,51219,Servicios de postproducción y otros servicios para la industria fílmica y del videoT,51219,"Post-production services, and other services for the film and video industryT",1.0,1.0,film_radio_tv,1,51219
43,43,512190,Servicios de postproducción y otros servicios para la industria fílmica y del video,512190,"Post-production services, and other services for the film and video industry",1.0,1.0,film_radio_tv,1,512190
44,44,5122,Industria del sonidoT,5122,Sound recording industryT,1.0,1.0,music_performing_arts,1,5122
45,45,51221,Productoras discográficasT,51221,Record companiesT,1.0,1.0,music_performing_arts,1,51221
46,46,512210,Productoras discográficas,512210,Record companies,1.0,1.0,music_performing_arts,1,512210
47,47,51222,Producción de material discográfico integrada con su reproducción y distribuciónT,51222,Record production integrated with its reproduction and distributionT,1.0,1.0,music_performing_arts,1,51222
48,48,512220,Producción de material discográfico integrada con su reproducción y distribución,512220,Record production integrated with its reproduction and distribution,1.0,1.0,music_performing_arts,1,512220
49,49,51223,Editoras de músicaT,51223,Music publishersT,1.0,1.0,music_performing_arts,1,51223
50,50,512230,Editoras de música,512230,Music publishers,1.0,1.0,music_performing_arts,1,512230
51,51,51224,Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicalesT,51224,Compact disc (CD) and digital video disc (DVD) or music cassettes recordingT,1.0,1.0,music_performing_arts,1,51224
52,52,512240,Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales,512240,Compact disc (CD) and digital video disc (DVD) or music cassettes recording,1.0,1.0,music_performing_arts,1,512240
53,53,51229,Otros servicios de grabación del sonidoT,51229,Other sound recording servicesT,1.0,1.0,music_performing_arts,1,51229
54,54,512290,Otros servicios de grabación del sonido,512290,Other sound recording services,1.0,1.0,music_performing_arts,1,512290
55,55,515,Radio y televisiónT,515,Radio and televisionT,1.0,1.0,film_radio_tv,1,515
56,56,5151,Transmisión de programas de radio y televisiónT,5151,Radio and television broadcastingT,1.0,1.0,film_radio_tv,1,5151
57,57,51511,Transmisión de programas de radioT,51511,Radio broadcastingT,1.0,1.0,film_radio_tv,1,51511
58,58,515110,Transmisión de programas de radio,515110,Radio broadcasting,1.0,1.0,film_radio_tv,1,515110
59,59,51512,Transmisión de programas de televisiónT,51512,Television broadcastingT,1.0,1.0,film_radio_tv,1,51512
60,60,515120,Transmisión de programas de televisión,515120,Television broadcasting,1.0,1.0,film_radio_tv,1,515120
61,61,5152,Producción de programación de canales para sistemas de televisión por cable o satelitalesT,5152,Cable or satellite television systems channel programming productionT ,1.0,1.0,film_radio_tv,1,5152
62,62,51521,Producción de programación de canales para sistemas de televisión por cable o satelitalesT,51521,Cable or satellite television systems channel programming productionT ,1.0,1.0,film_radio_tv,1,51521
63,63,515210,Producción de programación de canales para sistemas de televisión por cable o satelitales,515210,Cable or satellite television systems channel programming production ,1.0,1.0,film_radio_tv,1,515210
64,64,518,"Procesamiento electrónico de información, hospedaje y otros servicios relacionadosT",518,"Electronic data processing, hosting, and other related servicesT",1.0,1.0,software,1,518
65,65,5182,"Procesamiento electrónico de información, hospedaje y otros servicios relacionadosT",5182,"Electronic data processing, hosting, and other related servicesT",1.0,1.0,software,1,5182
66,66,51821,"Procesamiento electrónico de información, hospedaje y otros servicios relacionadosT",51821,"Electronic data processing, hosting, and other related servicesT",1.0,1.0,software,1,51821
67,67,518210,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",518210,"Electronic data processing, hosting, and other related services",1.0,1.0,software,1,518210
68,68,51912,Bibliotecas y archivosT,51912,Libraries and archivesT,1.0,1.0,libraries_museums,1,51912
69,69,519121,Bibliotecas y archivos del sector privado,519121,"Libraries and archives, private sector",1.0,1.0,libraries_museums,1,519121
70,70,519122,Bibliotecas y archivos del sector público,519122,"Libraries and archives, public sector",1.0,1.0,libraries_museums,1,519122
71,71,51913,Edición y difusión de contenido exclusivamente a través de Internet y servicios de búsqueda en la redT,51913,Internet content publishing and broadcasting and web search servicesT,1.0,1.0,publishing,1,51913
72,72,519130,Edición y difusión de contenido exclusivamente a través de Internet y servicios de búsqueda en la red,519130,Internet content publishing and broadcasting and web search services,1.0,1.0,publishing,1,519130
73,73,51919,Otros servicios de suministro de informaciónT,51919,Other information provision servicesT,1.0,1.0,publishing,1,51919
74,74,519190,Otros servicios de suministro de información,519190,Other information provision services,1.0,1.0,publishing,1,519190
75,75,5413,"Servicios de arquitectura, ingeniería y actividades relacionadasT",5413,"Architectural, engineering, and related servicesT",1.0,1.0,architecture,1,5413
76,76,54131,Servicios de arquitecturaT,54131,Architectural servicesT,1.0,1.0,architecture,1,54131
77,77,541310,Servicios de arquitectura,541310,Architectural services ,1.0,1.0,architecture,1,541310
78,78,54132,Servicios de arquitectura de paisaje y urbanismoT,54132,Landscape architectural services and urbanism servicesT,1.0,1.0,architecture,1,54132
79,79,541320,Servicios de arquitectura de paisaje y urbanismo,541320,Landscape architectural services and urbanism services,1.0,1.0,architecture,1,541320
80,80,54133,Servicios de ingenieríaT,54133,Engineering servicesT,1.0,,architecture,1,54133
81,81,541330,Servicios de ingeniería,541330,Engineering services,1.0,,architecture,1,541330
82,82,54134,Servicios de dibujoT,54134,Drafting servicesT,1.0,,architecture,1,54134
83,83,541340,Servicios de dibujo,541340,Drafting services,1.0,,architecture,1,541340
84,84,54135,Servicios de inspección de edificiosT,54135,Building inspection servicesT,1.0,,architecture,1,54135
85,85,541350,Servicios de inspección de edificios,541350,Building inspection services,1.0,,architecture,1,541350
86,86,54136,Servicios de levantamiento geofísicoT,54136,Geophysical surveying servicesT,1.0,,architecture,1,54136
87,87,541360,Servicios de levantamiento geofísico,541360,Geophysical surveying services,1.0,,architecture,1,541360
88,88,54137,Servicios de elaboración de mapasT,54137,Mapping servicesT,1.0,,architecture,1,54137
89,89,541370,Servicios de elaboración de mapas,541370,Mapping services,1.0,,architecture,1,541370
90,90,54138,Laboratorios de pruebasT,54138,Testing laboratoriesT,1.0,,architecture,1,54138
91,91,541380,Laboratorios de pruebas,541380,Testing laboratories,1.0,,architecture,1,541380
92,92,5414,Diseño especializadoT,5414,Specialized designT,1.0,1.0,design,1,5414
93,93,54141,Diseño y decoración de interioresT,54141,Interior design and decoratingT,1.0,1.0,design,1,54141
94,94,541410,Diseño y decoración de interiores,541410,Interior design and decorating,1.0,1.0,design,1,541410
95,95,54142,Diseño industrialT,54142,Industrial designT,1.0,1.0,design,1,54142
96,96,541420,Diseño industrial,541420,Industrial design,1.0,1.0,design,1,541420
97,97,54143,Diseño gráficoT,54143,Graphic designT,1.0,1.0,design,1,54143
98,98,541430,Diseño gráfico,541430,Graphic design,1.0,1.0,design,1,541430
