,id,name,creative_sector,employee_sizeband,website
65882,4006316,COORDINACIÓN GENERAL DE ASESORES DEL H AYUNTAMIENTO,advertising_marketing,11 a 30 personas,WWW.VILLAHERMOSA.GOB.MX
65893,6803424,ENTERPRISE CONSULTANTS GROUP SA DE CV,advertising_marketing,31 a 50 personas,WWW.ENTERPRISEMS.COM.MX
65896,6719463,FELCO ENERGY SOLUTION,advertising_marketing,11 a 30 personas,WWW.FELCOM.COM
65903,3980846,OFICINA DE CONSULTORÍA DE ADMINSTRACIÓN DE INFORMACIÓN,advertising_marketing,11 a 30 personas,WWW.IMMEXICO.COM
65908,4003956,PSS PRODUCTOS SOLUCIONES Y SERVICIOS,advertising_marketing,0 a 5 personas,WWW.PSS.COM.MX9931
65909,4006795,RZM CONSULTORÍA EN EL ÁREA DE INGENIERÍA,advertising_marketing,31 a 50 personas,WWW.REALIARINSK.COM
65910,6861107,SAMPERIO ASESORES,advertising_marketing,0 a 5 personas,WWW.SAMPERIOASESORES.COM
65912,6718784,"SEISE ENERGY, S.A. DE C.V.",advertising_marketing,6 a 10 personas,WWW.SEISEENERGY.COM
65923,6804567,VARCUS,advertising_marketing,6 a 10 personas,WWW.VARCUS.COM.MX
65958,4095370,DIAVAZ SERVICIOS CORPORATIVOS,advertising_marketing,11 a 30 personas,WWW.DIAVAZ.COM.MX
65959,6886248,EATON SOLUTIONS S DE RL DE CV,advertising_marketing,11 a 30 personas,WWW.EATON.COM.MX
65970,6403022,GT GLOBAL,advertising_marketing,101 a 250 personas,WWW.GTGLOBAL.COM
65976,6804583,INSUM0S Y RECURSOS EMPRESARIALES SA DE CV,advertising_marketing,51 a 100 personas,WWW.INYREM.COM.MX
65983,4095653,"LOGIN SOLUCIONES DE NEGOCIOS, S.A.",advertising_marketing,0 a 5 personas,WWW.CALTIC. CONSULTORES.COM
65989,6809748,OFICINAS DE MANUFACTURA EN RENTABILIDAD HUMANA,advertising_marketing,6 a 10 personas,WWW.MRH.COM.MX
66004,4040939,"S Y Q INTERNATIONAL CONSULTING, S.C.",advertising_marketing,6 a 10 personas,WWW.PERFILESGROUP.COM
66005,6310480,SERVICIOS ADMINISTRATIVOS IBCE,advertising_marketing,0 a 5 personas,WWW.IBCE.COM
66006,6310482,SERVICIOS ADMINISTRATIVOS IBCE,advertising_marketing,0 a 5 personas,WWW.IBCE.COM
66010,6869534,SERVICIOS PROFESIONALES DE ALTAMIRA,advertising_marketing,251 y más personas,WWW.DERMOTT.COM
66016,4105040,TRAVEL VISA,advertising_marketing,0 a 5 personas,WWW.TRAVELVISA.COM.MX
66017,6885335,TTG ASOCIADOS SC,advertising_marketing,0 a 5 personas,WWW.TTGASOCIADOS.COM
66037,4189878,TÁCTICA EMPRESARIA E INDUSTRIAL,advertising_marketing,0 a 5 personas,WWW.AFICA.COM.MX
66054,4305033,"BSV COSULTORES DE COMERCIO INTERNACIONAL, S.C.",advertising_marketing,0 a 5 personas,WWW.BSV.COM.MX
66069,4417287,CONSORCIO DE LA FUENTE,advertising_marketing,11 a 30 personas,WWW.CONSORCIODELAFUENTE.COM
66070,6768733,CONSORCIO EMPRESARIAL NOX,advertising_marketing,0 a 5 personas,WWW.CONSORCIONOX.COM
66073,4421763,CONSULTORES FINANCIEROS,advertising_marketing,0 a 5 personas,WWW.CONSULTORESFINANCIEROS.COM.MX
66083,4454617,CONSULTORÍA PSICOLÓGICA EMPRESARIAL,advertising_marketing,0 a 5 personas,PSIEMPRE.MX
66088,6773341,CONSULTORIA Y SOPORTE TECNICO OPERATIVO DEL SUR SA DE CV,advertising_marketing,6 a 10 personas,WWW.CYSTOS.COM.MX
66101,4278676,"DESPACHO CONTABLE TORRES PERALTA Y ASOCIADOS, S.C.",advertising_marketing,11 a 30 personas,WWW.TORRESPERALTA.COM
66105,4282099,DESPACHO DE CONSULTORÍA EN DESARROLLO ORGANIZACIONAL INTEGRANDO EQUIPOS,advertising_marketing,0 a 5 personas,WWW.INTEGRANDOEQUIPOS.COM
66112,4336457,FISH FINANCIAL,advertising_marketing,0 a 5 personas,WWW.FISH-FINANCIAL.COM
66124,4277918,HARWEB XALAPA,advertising_marketing,11 a 30 personas,WWW.HARWEB.MX
66129,6703634,ILAB VERACRUZ,advertising_marketing,6 a 10 personas,WWW.ILAB.NET
66130,6728571,INFODATA CONSULTORES INTEGRALES,advertising_marketing,0 a 5 personas,WWW.GRUPOINFODATA.COM
66134,4312714,IPADE,advertising_marketing,0 a 5 personas,WWW.IPADE.MX
66145,6862749,MULTICONECTA RECURSOS CORPORATIVOS,advertising_marketing,251 y más personas,WWW.MULTICONECTA.COM
66159,6706802,OFICINA REPRESENTACIÓN DE LOS INTERESES DE TUS TRABAJADORES,advertising_marketing,0 a 5 personas,WWW.MIGIN.COM.MX
66170,4305639,RANCHO SANTA RITA,advertising_marketing,11 a 30 personas,WWW.RSANTARITA.COM.MX
66172,4305610,"SEAPROD, S.A. DE C.V.",advertising_marketing,0 a 5 personas,WWW.SEAPROD.COM.MX
66189,4313299,SOLUCIONES INTEGRALES EN TECNOLOGÍA,advertising_marketing,0 a 5 personas,WWW.FACTURAELECTRONICAMENTE.COM
66194,4461608,"TECNOMANAGEMENT CONSULTORES, S.C.",advertising_marketing,0 a 5 personas,WWW.TECNOMANAGEMENT.COM.MX
66200,4312464,"VISIÓN EN COMERCIO EXTERIOR, S.C.",advertising_marketing,6 a 10 personas,WWW.CMESC.COM.MX
66219,4575278,"CENTRO DE MEJORA CONTINUA, S.C.P.",advertising_marketing,11 a 30 personas,WWW.BESTER.COM.MX
66228,4508988,"CONSULTORES EN ADMINISTRACIÓN CEBM Y ASOCIADOS, S.C.P.",advertising_marketing,6 a 10 personas,WWW.CEBM.COM.MX
66230,4536377,"CONSULTORES URBANOS Y AMBIENTALES, S.C.P.",advertising_marketing,11 a 30 personas,WWW.CONSULTUA.COM.MX
66242,4538374,EXCELL CONSULTORES,advertising_marketing,11 a 30 personas,WWW.EXCEL.COM.MX
66248,4575320,HACEMOS NEGOCIO,advertising_marketing,0 a 5 personas,WWW.HACEMOS NEGOCIO.COM
66252,4520657,"ICONO CONSULTORÍA, S.C.P.",advertising_marketing,0 a 5 personas,WWW.ICONOCONSULTORIA.COM
66253,4554643,IEAEY,advertising_marketing,6 a 10 personas,WWW.GOB.MX
66256,4508874,INTEGRADORA DE ALIMENTOS CEDO,advertising_marketing,6 a 10 personas,WWW.MIVIEJOMOLINO.COM
66259,4511828,JMJ ASESORES,advertising_marketing,31 a 50 personas,WWW.GRUPOCMG.COM
66265,6697855,MAYCKY PUBLICIDAD,advertising_marketing,11 a 30 personas,WWW.MAYCKY.COM
