,id,name,creative_sector,employee_sizeband,website
0,6807423,32MX.TV,publishing,6 a 10 personas,WWW.32MX.TV
3,122987,BUSCATODO,publishing,11 a 30 personas,WWW.BUSCATODO.COM
5,94181,GRUPO RADIOASTA,publishing,0 a 5 personas,WWW.RADIOASTA.MX
8,185715,COMUNICA,publishing,6 a 10 personas,COMUNICACAMPECHE.COM.MX
9,188689,PROSPORA,publishing,0 a 5 personas,WWW.PROSPORA.MX
13,6728933,TIEMPO LA NOTICIA DIGITAL,publishing,0 a 5 personas,WWW.TIEMPO.COM.MX
15,870112,ALDEA MEDIA SA DE CV,publishing,11 a 30 personas,WWW.ALDEAMEXICO.COM
18,881965,BOTÓN ROJO,publishing,0 a 5 personas,WWW.BOTONROJO.COM
20,867083,CARTERA,publishing,0 a 5 personas,WWW.SENTIDOCOMUN.COM.MX
21,691411,DEEZER MÉXICO,publishing,0 a 5 personas,WWW.DEEZER.COM
22,6859693,DEREMATE COM DE MEXICO,publishing,31 a 50 personas,MERCADOLIBRE.COM.MX
23,6876804,EBAY,publishing,51 a 100 personas,WWW.VIVAANUNCIOS.COM.MX
24,6879122,EIKOMDIGITAL,publishing,11 a 30 personas,WWW.EIKONDIGITAL.COM
25,6813693,EL FINANCIERO MARKETING SA DE CV,publishing,251 y más personas,WWW.ELFINANCIERO
27,898882,EMPRESA DE COMUNICACIÓN PERIÓDISTICA HOJA DE RUTA,publishing,6 a 10 personas,WWW.HOJADERUTADIGITAL.MX
32,780306,"INTERNET SECURITIES DE MÉXICO, S. DE R.L. DE C.V.",publishing,0 a 5 personas,WWW.SECURITIES.COM
33,6856403,MERCADO LIBRE S DE RL DE CV,publishing,51 a 100 personas,WWW.MERCADOLIBRE.COM.MX
34,6325790,METRO NET S.A.P.I. DE C.V.,publishing,251 y más personas,WWW.KIONETWORKS.COM.MX
37,889911,OFICINA EXCELENCIA DEPORTIVA PIT LANE,publishing,0 a 5 personas,WWW.PITLANE.MX
38,690581,"PAGINAS Y POSICIONAMIENTO WEB, S.A. DE C.V.",publishing,6 a 10 personas,WWW.POSICIONAWEB.MX
39,896348,"PERIODICO DIGITAL SENDERO, S.A. DE C.V.",publishing,11 a 30 personas,SDPNOTICIAS.COM
41,1043163,PORTAL DE NOTICIAS EN INTERNET,publishing,0 a 5 personas,WWW.ENDIRECTO.MX
42,895590,"PUBLICACIONES COMUNITARIAS, S.A. DE C.V.",publishing,31 a 50 personas,WWW.LASILLAROTA.COM.MX
43,909712,PUBLICIDAD EN BUSCADORES,publishing,11 a 30 personas,WWW.PUBLICIDADENBUSCADORES.MX
46,6802972,S SERVICIOS DE MUSICA MÉXICO SA DE CV,publishing,11 a 30 personas,WWW.SPOTIFY.COM
47,6800448,S SERVICIOS DE MUSICA MÉXICO SA DE CV,publishing,6 a 10 personas,WWW.SPOTIFY.COM
49,873938,"SIN EMBARGO, S. DE R.L. DE C.V.",publishing,31 a 50 personas,WWW.SINEMBARGO.MX
50,911465,SINERGIS REDES DE COMUNICACIÓN SATELITAL,publishing,11 a 30 personas,WWW.SINERGIS.COM
54,1085024,PERIÓDICO DIGITAL DURANGO AL DÍA,publishing,6 a 10 personas,WWW.DURANGOALDIA.COM
56,1147426,"ZONA FRANCA FÁBRICA DE CONTENIDOS, S.A. DE C.V.",publishing,11 a 30 personas,WWW.ZONAFRANCA.MX
57,1505928,REPETIDORA RTG,publishing,0 a 5 personas,WWW.XHTVT.COM
62,1671691,GRUPO INFORMATIVO ARTICULO 7,publishing,11 a 30 personas,WWW.ARICULOSIETE.COM
65,1677650,TELEVISORA JALISCO,publishing,0 a 5 personas,WWW.USTREAM.TV/CHANNEL/TV-JALISCO2
70,2623856,GRUPO RADIOTELE,publishing,0 a 5 personas,WWW.RADIOTELE.TV
71,2624351,PAGINA DE INTERNET QUADRATIN,publishing,6 a 10 personas,WWW.QUADRATIN.COM.MX
72,2682985,TARJETAS Y LONAS DE PUBLICIDAD ALKIMIA,publishing,0 a 5 personas,WWW.ALKIMIAMORELIA.COM
74,3041613,BANCO DE DATOS DEL VENADO COLA BLANCA,publishing,0 a 5 personas,WWW.TIERRADEVENADOS.COM.MX
75,3027818,MOLINKO PAGINAS WEB GARZA/INMOBILIARIA HINOGAR,publishing,0 a 5 personas,WWW.MOLINKO.COM
77,6366169,TODITO CARD SA DE CV,publishing,11 a 30 personas,WWW.TODITOCARD.COM
79,3126160,LA ONDA OAXACA,publishing,0 a 5 personas,WWW.LAONDAOAXACA.COM.MX
80,3144936,MEGARADIOEXPRESS,publishing,0 a 5 personas,MEGARADIOEXPRESS.COM
82,3224803,OFICINA DE SERVICIO INTEGRAL DE COMUNICACIÓN,publishing,0 a 5 personas,WWW.NOTIHUATULCO.COM
92,3338967,TODO PUEBLA,publishing,11 a 30 personas,TODOPUEBLA.COM
94,3589223,"TV ENCORTO, S.A. DE C.V.",publishing,11 a 30 personas,WWW.CIUDADYPODER.COM.MX
96,3692230,OGARRÍO.COM,publishing,0 a 5 personas,OGARRIO.COM
97,3666175,PERIÓDICO CON TU PALABRA,publishing,6 a 10 personas,WWW.CONTUPALABRA.COM
98,3709307,TUCOMPRARENTA,publishing,0 a 5 personas,WWW.TUCOMPRARENTA.COM
99,3767993,AGENCIA DE PUBLICIDAD PYMETIC,publishing,0 a 5 personas,WWW.PYMETIC.COM.MX
100,3817995,DIARIO FUENTES FIDEDIGNAS,publishing,6 a 10 personas,WWW.FUENTESFIDEDIGNAS.COM.MX
102,3920494,EL SHOCK DE LA NOTICIA,publishing,0 a 5 personas,ELSHOCKDELANOTICIA.BLOGSPOT.MX
104,3879736,"LINEAS SONORA HOY CW, S.A. DE C.V.",publishing,0 a 5 personas,WWW.SONORAHOY.COM
105,6226026,MARQUESINA POLITICA.COM,publishing,0 a 5 personas,WWW.MARQUESINAPOLITICA.COM
107,3890648,ROCKY POINT 360,publishing,0 a 5 personas,WWW.ROCKYPOINT360.COM
108,3872206,SEMINUEVOS SONORA,publishing,0 a 5 personas,SEMINUEVOSSONORA.COM
109,3917363,SONOFERTAS,publishing,0 a 5 personas,WWW.SONOFERTAS.COM
111,4004534,OFICINAS DE PUBLICIDAD POR INTERNET AMARILLAS EN INTERNET,publishing,0 a 5 personas,WWW.AMARILLASINTERNET.COM
115,4121179,PUBLICIDAD,publishing,0 a 5 personas,WWW.TAMPS.COM.MX
117,4068219,RADIO ESFERA,publishing,0 a 5 personas,WWW.RADIOESFERA.FM
118,4172939,PERIODICO DIGITAL 385 GRADOS,publishing,0 a 5 personas,WWW.385GRADOS.COM
120,4277686,AVC NOTICIAS,publishing,11 a 30 personas,WWW.AVCNOTICIAS.COM.MX
123,4304899,"LOGRA.MX, S.C.",publishing,6 a 10 personas,WWW.LOGRA.MX
124,4477405,"MEDIA PÚBLICA VERACRUZ, S.C.",publishing,11 a 30 personas,WWW.ELGOLFO.INFO
127,4478813,PERIÓDICO AL CALOR POLÍTICO,publishing,31 a 50 personas,WWW.ALCALORPOLITICO.COM
129,4537542,ACCESO MX,publishing,0 a 5 personas,WWW.ACCESOMX.COM
130,4509180,"CONSULTORÍA INTERNACIONAL DE ARRENDADORA, S.A. DE C.V.",publishing,0 a 5 personas,WWW.YUCATANALAMANO.COM
133,15779,ANIMACTIVA,software,11 a 30 personas,WWW.ANIMACTIVA.MX
135,6283807,CONTPAQI,software,0 a 5 personas,WWW.CONTPAQI.COM
138,284691,"ASESORÍAS INTEGRADAS, S.C.",software,6 a 10 personas,WWW.ISI.MX
139,6707786,ITELTEQ,software,51 a 100 personas,WWW.ITELTEQ.COM
141,6719742,VAUXOO,software,6 a 10 personas,WWW.VAUXOO.COM
143,6293532,ESAPCO SOFTWARE,software,6 a 10 personas,WWW.ESAPCO.MX
145,866215,"ADVANTECH ELECTRONICS, S. DE R.L. DE C.V.",software,0 a 5 personas,WWW.ADVANTECH.COM
146,6323624,APESA SOFTWARE SC,software,51 a 100 personas,WWW.APESA.MX
147,903425,ARTEFACTO ESTUDIO,software,6 a 10 personas,WWW.ARTEFACTOESTUDIO.COM
152,6259244,CONSIST MEXICO S.A DE CV,software,6 a 10 personas,WWW.CONSIST.COM
161,6714008,HARMAN INTERNATIONAL MÉXICO,software,6 a 10 personas,WWW.HARMAN.COM
164,658292,INFORMÁTICA MÉDICA PARA LA SALUD MÉXICO,software,6 a 10 personas,WWW.IMEDMEX.COM.MX
168,763567,KOPERCORP INC,software,0 a 5 personas,WWW.KOPER.COM.MX
169,6856245,MATCH ANALYSIS FUTBOL MEXICO S DE RL DE CV,software,11 a 30 personas,WWW.MATCHANALYSIS.COM
170,6774890,MICROSOFT MEXICO,software,251 y más personas,WWW.MICROSOFT.COM
171,6882372,QLIKTECH MEXICO,software,6 a 10 personas,WWW.QLIK.COM
172,6305234,"SERVICIOS TELEPRO, S.A. DE C.V.",software,51 a 100 personas,WWW.TELEPRO.MX
177,6259218,"SOPORTE PROSCAI, S.C.",software,31 a 50 personas,WWW.PROSCAI.COM
178,6257987,"TECNOLOGIA ASESORIA SISTEMAS,  S.A. DE  C.V.",software,11 a 30 personas,WWW.TAS.COM.MX
179,6866151,TOTVS MEXICO,software,31 a 50 personas,WWW.TOTVS.COM
180,6309857,TRAVELPORT MÉXICO SA DE CV,software,31 a 50 personas,WWW.TRAVELPORT.COM
183,6741014,WIPRO,software,31 a 50 personas,WWW.WIPRO.COM
185,1141185,GRUPO INNDEX (TECNOLOGIA),software,6 a 10 personas,WWW.GRUPOINNDEX.COM.MX
190,6338331,CONTPAQI,software,101 a 250 personas,WWW.CONTPAQI.COM
191,1832614,DESARROLLO DE VIDEOJUEGOS,software,0 a 5 personas,WWW.VILLAVANILLA.COM
199,6703272,SOS SOFTWARE,software,0 a 5 personas,WWW.SOS-SOFT.COM
209,6774891,MICROSOFT MEXICO,software,11 a 30 personas,WWW.MICROSOFT.COM
212,3438310,"GC INGENIERÍA Y DISENO, S.C.",software,0 a 5 personas,WWW.GCINGENIERIA.COM
214,3538406,SERVICIOS DE INFORMÁTICA LINK COLECTIVO,software,0 a 5 personas,WWW.LINKCOLECTIVO.COM
217,6709060,INNOVATEQROO,software,0 a 5 personas,WWW.INNOVATEQROO.COM.MX
222,6729023,OFFSHORE TECHSERVICES,software,51 a 100 personas,WWW.OBREGONTECH.COM
225,6702857,"SYNDEIN, S.A. DE C.V.",software,6 a 10 personas,WWW.INDEN.COM.MX
226,4150344,SOFTURA SOLUCTION,software,6 a 10 personas,WWW.SOSFTURASOLUCTION.COM.MX
228,6414206,4TH SOURCE,software,251 y más personas,WWW.4THSOURCE.COM
231,6704443,NEARSHORE TECHNOLOGY,software,31 a 50 personas,WWW.NEARSHORETECHNOLOGY.COM
232,20508,ARCHIVO GENERAL MUNICIPAL,libraries_museums,11 a 30 personas,WWW.AGS.GOB.MX/ARCHIVO
259,10734,INEGI - BIBLIOTECA - LUDOTECA,libraries_museums,11 a 30 personas,WWW.INEGI.ORG.MX
260,6774892,INEGI - BIBLIOTECA EMILIO ALANÍS PATIÑO - CENTRO DE INFORMACIÓN AGUASCALIENTES,libraries_museums,51 a 100 personas,WWW.INEGI.ORG.MX
308,126489,BIBLIOTECA PÚBLICA MUNICIPAL JUAN MARÍA DE SALVATIERRA,libraries_museums,0 a 5 personas,WWW.BIBLIOTECAPUBLICAJUAN MARIADESALVATIERRA.COM
317,67409,BIBLIOTECA PÚBLICA MUNICIPAL RAMON LOPEZ VELARDE,libraries_museums,6 a 10 personas,BP7133EDGB.CONACULTA.GOB.MX
365,177968,SALA DE LECTURA ´´PARA LIBROS´´,libraries_museums,0 a 5 personas,WWW.CONACULTA.GOB.MX
369,188065,BIBLIOTECA CAMPECHE,libraries_museums,11 a 30 personas,WWW.BIBLIOTECACAMPECHE.GOB.MX
370,188323,BIBLIOTECA JUAN SÁNCHEZ ASCONA DEL INAH CAMPECHE,libraries_museums,11 a 30 personas,WWW.INAH.GB.MX
403,188501,UNIDAD DE ACCESO A LA INFORMACIÓN PÚBLICA,libraries_museums,0 a 5 personas,WWW.CULTURACAMPECHE.COM
409,297712,ARCHIVO MUNICIPAL,libraries_museums,11 a 30 personas,WWW.TORREON.COM.MX
520,320273,ARCHIVO HISTORICO DEL MUNICIPIO DE COLIMA,libraries_museums,11 a 30 personas,CASADELARCHIVO.GOB.MX
613,462355,BIBLIOTECA PÚBLICA CENTRAL DEL ESTADO,libraries_museums,0 a 5 personas,WWW.BIBLIORED.CHIAPAS.GOB.MX
726,370128,BIBLIOTECA VIRTUAL,libraries_museums,6 a 10 personas,WWW.PODERJOVEN.ORG.MX
876,572257,CONGRESO DEL ESTADO DE CHIHUAHUA,libraries_museums,6 a 10 personas,WWW.CONGRESOCHIHUAHUA.GOB.MX
905,1006374,BIBLIOTECA DE LAS REVOLUCIONES DE MÉXICO,libraries_museums,6 a 10 personas,WWW.INEHRM.GOB.MX
906,893064,BIBLIOTECA DE MÉXICO,libraries_museums,6 a 10 personas,WWW.CONACULTA.GOB.MX/BIBLIOTECAMEXICO
944,1033054,BIBLIOTECA JOSE REVUELTAS,libraries_museums,11 a 30 personas,WWW.BIBLIOTECA.JOSEREVUELTAS.SEPDF.GOB.MX
964,1060489,BIBLIOTECA MIGUEL LERDO DE TEJADA,libraries_museums,31 a 50 personas,WWW.CODEXVIRTUAL.COM/BMLT2
965,1059349,BIBLIOTECA NACIONAL,libraries_museums,6 a 10 personas,HTTP://BNM.UNAM.MX'
993,758431,BIBLIOTECA PÚBLICA ALONSO LUJAMBIO,libraries_museums,11 a 30 personas,WWW.POPOTLA2012
1020,683556,BIBLIOTECA PÚBLICA FERNANDO MONTES DE OCA,libraries_museums,11 a 30 personas,DELEGACIONAZCAPOTZALCO.GOB.MX
1118,703632,BIBLIOTECA VIRTUAL TLATOANI.,libraries_museums,6 a 10 personas,WWW.VCARRANZA.DF.GOB.MX
1120,692667,BIBLIOTECAS Y ARCHIVOS DEL SECTOR PÚBLICO,libraries_museums,0 a 5 personas,WWW.SIAP.GOB.MX
1122,1014890,BIBLIOTECAS Y ARCHIVOS DEL SECTOR PÚBLICO,libraries_museums,11 a 30 personas,WWW.CIDALBERTOBELTRAN.GOB.MX
1125,996306,CENTRO DE ESTUDIOS FILOSÓFICOS POLÍTICOS Y SOCIALES VICENTE LOMBARDO TOLEDANO,libraries_museums,31 a 50 personas,WWW.CENTROLOMBARDO.EDU.MX
1126,858965,CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGÍA SOCIAL BIBLIOTECA ÁNGEL PALERM,libraries_museums,11 a 30 personas,WWW.CIESAS.GOB.MX
1128,1059403,DIRECCIÓN GENERAL DE BIBLIOTECAS,libraries_museums,6 a 10 personas,HTTP://WWW.DGBIBLIO.UNAM.MX
1130,684997,EL FARO DEL SABER POPOTLA,libraries_museums,6 a 10 personas,WWW.FARODELSABERPOPOTLAPOPOTLA.GOB.MX
1131,751579,FARO DEL SABER ARGENTINA,libraries_museums,11 a 30 personas,WWW.FAROARGENTINA.MIGUELHIDALGO.GOB.MX
1137,1059350,HEMEROTECA NACIONAL,libraries_museums,6 a 10 personas,HTTP://HNM.UNAM.MX
1153,1082625,BIBLIOTECA CENTRAL UNIVERSITARIA DE LA UJED,libraries_museums,31 a 50 personas,BIBVIRTUAL.UJED.MX
1234,1143918,BIBLIOTECA CENTRAL ESTATAL WIGBERTO JÍMENEZ MORENO,libraries_museums,0 a 5 personas,WWW.BIBLIOTECAS.GUANAJUATO.GOB.MX
1254,1166438,BIBLIOTECA MUNICIPAL NICOLÁS RANGEL,libraries_museums,6 a 10 personas,WWW.LEON.GOB.MX7/EDUCACION
1320,1344319,BIBLIOTECA PÚBLICA MUNICIPAL IGNACIO RAMÍREZ EL NIGROMANTE,libraries_museums,6 a 10 personas,WWW.SANMIGUELDEALLENDE.MX
1357,1209452,BIBLIOTECA PÚBLICA SOR JUANA INÉS DE LA CRUZ,libraries_museums,0 a 5 personas,WWW.BIBLIOTECAPUBLICASORJUANAINESDELACRUZ.COM.MX
1369,1305388,CENTRO DE ESTUDIOS CERVANTINOS,libraries_museums,0 a 5 personas,WWW.BIBIOTECA.SEG.GTO.COM.MX
1497,1553490,"ARCHIVO HISTÓRICO MUNICIPAL DE TULANCINGO DE BRAVO, HIDALGO",libraries_museums,0 a 5 personas,WWW.PRESIDENCIAMUNICIPALDETULANCINGO.GOB.MX
1507,1608908,BIBLIOTECA COMUNITARIA SAN JUAN TEPA,libraries_museums,0 a 5 personas,BIBLIOTECAHIDALGO.DYNDNC.RG/PINAQUES_V42/
1523,1547823,BIBLIOTECA MUNICIPAL,libraries_museums,0 a 5 personas,OMITLANDEJUAREZ.HIDALGO.GOB.MX
1592,1521127,BIBLIOTECA PÚBLICA MUNICIPAL,libraries_museums,6 a 10 personas,BIBLIOTECAHIDALGO.DYNDNS.ORG/INAKES_V402
1763,1799848,BIBLIOTECA PÚBLICA DEL ESTADO DE JALISCO JUAN JOSE ARREOLA,libraries_museums,6 a 10 personas,WWW.BIPEJA.COM
1764,1706182,BIBLIOTECA PÚBLICA DEL ESTADO JUAN JOSE ARREOLA,libraries_museums,0 a 5 personas,WWW.BPJ.UDG.MX
1829,1638654,BIBLIOTECA PÚBLICA MUNICIPAL LICENCIADO FRANCISCO MEDINA ASCENSIO 6891,libraries_museums,0 a 5 personas,WWW.ZAPOPAN.GOB.MX
1932,2396632,BIBLIOTECA CENTRAL UNIVERSITARIA DR JUAN JOSAFAT PICHARDO CRUZ,libraries_museums,11 a 30 personas,WWW.DIA-UAEMEX.COM.MX
1955,6700683,BIBLIOTECA DIGITAL CHICOLOAPAN GOBIERNO DEL ESTADO DE MÉXICO,libraries_museums,0 a 5 personas,WWW.BD.ORG.MX
1958,2243039,BIBLIOTECA DIGITAL HUEYPOXTLA,libraries_museums,0 a 5 personas,WWW.BD.ORG.MX
2003,2478628,BIBLIOTECA JOAQUÍN ARCADIO PAGAZA,libraries_museums,0 a 5 personas,WWW.REDESTATALDEBIBLIOTECAS.COM.MX
2144,2438296,BIBLIOTECA PÚBLICA CENTENARIO DE LA REVOLUCIÓN,libraries_museums,11 a 30 personas,BIBCENTENARIO.WORDPRESS.COM
2401,2430246,EXPEDIENTES TÉCNICOS,libraries_museums,6 a 10 personas,WWW.ISEM.GOB.MX
2402,6712664,FUNDACIÓN PROCESO,libraries_museums,0 a 5 personas,WWW.BD.ORG.MX
2578,2566303,DIRECCIÓN DE ARCHIVO GENERAL HISTORICO Y MUSEO DE LA CIUADAD,libraries_museums,11 a 30 personas,WWW.ARCHIVOHISTORICODEMORELIA.BLOGSPOT.COM
2600,2799385,BIBLIOTECA DR. JOSÉ FELIX FRÍAS,libraries_museums,0 a 5 personas,WWW.CUERNAVACA.GOB.MX
2686,2798540,CONSEJO ESTATAL DE POBLACIÓN,libraries_museums,11 a 30 personas,WWW.COESPOMOR.GOB.MX
2687,2775930,INSTITUTO ESTATAL DE DOCUMENTACIÓN DE MORELOS,libraries_museums,11 a 30 personas,WWW.IEDEM.MORELOS.GOB.MX
2753,3033513,ARCHIVO DE GOBIERNO,libraries_museums,0 a 5 personas,WWW.NL.GOB.MX
2755,2993660,ARCHIVO GENERAL DEL ESTADO,libraries_museums,11 a 30 personas,WWW.GOB.MX
2931,3044786,BIBLIOTECA PÚBLICA CENTRAL HUMBERTO RAMOS LOZANO,libraries_museums,0 a 5 personas,WWW.APODACA.GOB.MX
2998,2993656,ESCUELA ADOLFO PRIETO TALLERES DE ARTE ESCULTURA FOTOGRAFÍA PINTURA,libraries_museums,6 a 10 personas,WWW.CONARTE.ORG.MX
2999,3001107,FOTOTECA MUNICIPAL,libraries_museums,0 a 5 personas,WWW.LINARESFOTOTECA
3006,3126372,ARCHIVO HISTÓRICO MUNICIPAL DE LA CIUDAD DE OAXACA,libraries_museums,6 a 10 personas,WWW.MUNICIPIODEOAXACADEJUAREZ.GOB.MX
3011,3069009,BIBLIOTECA ANDRÉS HENESTROSA,libraries_museums,11 a 30 personas,WWW.BIBLIOTECAHENESTROSA.COM
3021,3069320,BIBLIOTECA FRANCISCO DE BURGOA,libraries_museums,11 a 30 personas,WWW.BIBLIOTECABURGOA.ORG.MX
3355,3361789,BIBLIOTECA DEL ÁREA DE LA SALUD DR. JOAQUÍN IZQUIERDO,libraries_museums,11 a 30 personas,WWW.BIBLIOTECAS.BUAP.MX
3370,3275182,BIBLIOTECA LA FRAGUA,libraries_museums,11 a 30 personas,WWW.LAFRAGUA.BUAP.MX
3630,3550256,CENTRO EDUCATIVO Y CULTURAL DEL ESTADO MANUEL GÓMEZ MORIN,libraries_museums,31 a 50 personas,CENTAL.QUERETARO.GOB.MX
3633,3616636,ARCHIVO GENERAL DEL ESTADO,libraries_museums,31 a 50 personas,HTTP://AGE.QROO.GOB.MX
3670,3706460,BIBLIOTECA DE LA COMISIÓN ESTATAL DE DERECHOS HUMANOS,libraries_museums,0 a 5 personas,WWW.CEDHSLP.ORG.MX
3752,3709900,BIBLIOTECA PÚBLICA UNIVERSITARIA,libraries_museums,11 a 30 personas,BPU.UASLP.MX
3759,3707518,CASA DE LA CULTURA JURÍDICA DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN,libraries_museums,11 a 30 personas,WWW.SCJN.GOB.MX
3761,3711996,CENTRO DE INFORMACIÓN EN HUMANIDADES BIBLIOTECOLOGÍA Y PSICOLOGÍA,libraries_museums,11 a 30 personas,HTTP://CIHBYP.UASLP.MX
3762,3691698,CINETECA ALAMEDA,libraries_museums,11 a 30 personas,WWW.CINETECAALMEDA.NET-SITIO
3768,3724891,RESPOSABLE DE LA UNIDAD DE INFORMACIÓN Y COORDINACIÓN DEL ARCHIVO MUNICIPAL.,libraries_museums,0 a 5 personas,CERRITOS-SLP.GOB.MX
3771,3813530,ARCHIVO HISTÓRICO GENERAL DEL ESTADO DE SINALOA,libraries_museums,11 a 30 personas,WWW.AHGS.GOB.MX
3879,3878931,BIBLIOTECA PÚBLICA CENTRAL CONACULTA,libraries_museums,31 a 50 personas,ISC.GOB.MX
3911,3947093,BIBLIOTECA PÚBLICA MUNICIPAL ANTONIO SALGADO FLORES,libraries_museums,0 a 5 personas,WWW.MUNICIPIODESUAQUIGRANDE.COM.MX
3914,3946041,BIBLIOTECA PÚBLICA MUNICIPAL CAROLINA ZEPEDA,libraries_museums,0 a 5 personas,WWW.BIBLIOTECASANTACRUZ.COM
3917,3940284,BIBLIOTECA PÚBLICA MUNICIPAL DE LA COLORADA,libraries_museums,0 a 5 personas,WWW.COLORADA.GOB.MX
4141,4155522,BIBLIOTECA PÚBLICA CENTRAL MIGUEL N. LIRA NO 350.,libraries_museums,0 a 5 personas,WWW.SEPTLAXCALA.GOB.MX/
4143,4152596,BIBLIOTECA PÚBLICA DE APIZACO 361,libraries_museums,6 a 10 personas,WWW.BIBLIOTECAPUBLICADEAPIZACO.COM.MX
4218,4480260,ARCHIVO GENERAL CLAVIJERO,libraries_museums,11 a 30 personas,WWW.ARCHIVOHISTORICOXALAPA.NET
4225,4480258,BIBLIOTECA CARLOS FUENTES,libraries_museums,0 a 5 personas,WWW.SEV.GOB.MX[7BIBLIOTECA_CARLOS_FUENTES7
4237,4477182,BIBLIOTECA GONZALO AGUIRRE BELTRÁN,libraries_museums,11 a 30 personas,WWW.CIESAS.EDO.MX
4484,4327188,INSTITUTO TECNOLÓGICO SUPERIOR DE JUAN RODRÍGUEZ CLARA,libraries_museums,0 a 5 personas,WWW.ITSJUANRODRIGUEZCLARA.EDU.MX
4486,4469964,UNIDAD DE SERVICIOS BIBLIOTECARIOS Y DE INFORMACIÓN (USBI),libraries_museums,0 a 5 personas,WWW.UV.MX/USBI
4605,4539468,CASA DE LA HISTORIA DE LA EDUCACIÓN DE YUCATÁN,libraries_museums,6 a 10 personas,WWW.EDUCACION.YUCATAN.GOB.MX/CASAHISTORIA
4608,4514191,PINACOTECA DEL ESTADO JUAN GAMBOA GUZMAN,libraries_museums,11 a 30 personas,WWW.INAH.GOB.MX
4610,4650086,ARCHIVO GENERAL DEL ESTADO,libraries_museums,6 a 10 personas,SACACATECAS.GOB.MX
4618,4653881,BIBLIOTECA CENTRAL,libraries_museums,0 a 5 personas,HTTP://BIBLIOTECA.UAZ.EDU.MX
4717,4629894,UNIDAD PROFESIONAL INTERDISCIPLINARIA DE INGENIERÍA CAMPUS ZACATECAS,libraries_museums,101 a 250 personas,WWW.ZACATECAS.IPN.MX
4718,6871276,C. ESPACIO AGUACALIENTES,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4720,6281765,CINEMEX AGUASCALIENTES,film_radio_tv,11 a 30 personas,WWW.CINEMEX.COM
4721,6795517,CINEMEX EXPOPLAZA AGUACALIENTES,film_radio_tv,0 a 5 personas,WWW.CINEMEX.COM
4722,6281143,CINEMEX RINCON DE ROMOS,film_radio_tv,11 a 30 personas,WWW.CINEMEX.COM
4723,6281052,CINEPOLIS AGUASCALIENTES,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4724,6282131,CINEPOLIS ALTARIA,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4726,6282074,CINEPOLIS SUR AGUASCALIENTES,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4727,6282075,CINEPOLIS VELARIA MALL,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4733,6811093,CINEMEX LA GRAN VIA MEXICALI,film_radio_tv,6 a 10 personas,WWW.CINEMEX.COM
4734,6712099,CINEMEX LOMA BONITA,film_radio_tv,0 a 5 personas,WWW.CINEMEX.COM
4735,6287074,CINEMEX LOPEZ MATEOS,film_radio_tv,11 a 30 personas,WWW.CINEMEX.COM
4737,6287008,CINEMEX MUNDO DIVERTIDO TIJUANA,film_radio_tv,11 a 30 personas,WWW.CINEMEX.COM
4738,6322660,CINEMEX OASIS,film_radio_tv,11 a 30 personas,WWW.CINEMEX.COM
4739,6708261,CINEMEX PAVILION ZONA DEL RIO,film_radio_tv,31 a 50 personas,WWW.CINMEXS.COM
4740,6814438,CINEMEX PLAZA CARRANZA,film_radio_tv,31 a 50 personas,WWW.CINEMEX.COM
4741,6283798,CINEMEX PLAZA MINARETE TIJUANA,film_radio_tv,11 a 30 personas,WWW.CINEMEX.COM
4743,6285050,CINEPOLIS BOULEVARD 2000,film_radio_tv,101 a 250 personas,WWW.CINEPOLIS.COM
4744,6283588,CINEPOLIS CARROUSEL,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4745,6287051,CINEPOLIS CENTRO CIVICO,film_radio_tv,31 a 50 personas,WWW.CINEPOLIS.COM
4746,6286591,CINEPOLIS GALERIAS DEL VALLE MEXICALI,film_radio_tv,31 a 50 personas,WWW.CINEPOLIS.COM
4747,6286397,CINEPOLIS MACROPLAZA DEL MAR,film_radio_tv,51 a 100 personas,WWWCINEPOLIS.COM
4748,6360815,CINEPOLIS MARINA,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4749,6286398,CINEPOLIS NUEVO MEXICALI,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4751,6286401,CINEPOLIS OTAY,film_radio_tv,101 a 250 personas,WWW.CINEPOLIS.COM
4752,6286590,CINEPOLIS PABELLON ROSARITO,film_radio_tv,31 a 50 personas,WWW.CINEPOLIS.COM
4753,6360817,CINEPOLIS PASEO CHAPULTEPEC,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4754,6286400,CINEPOLIS PLAZA CENTENARIO,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
4755,6286399,CINEPOLIS PLAZA CORONADO,film_radio_tv,31 a 50 personas,WWW.CINEPOLIS.COM
4756,6287108,CINEPOLIS PLAZA MONARCA,film_radio_tv,51 a 100 personas,WWW.CINEPOLIS.COM
